,gbifKey
532,2886445
533,2905251
534,2911992
535,2918012
536,2946147
537,2952895
538,2953583
539,2977046
540,2998406
541,3037345
542,3037578
543,3039194
544,3054785
545,3074126
546,3104775
547,3154635
548,3156637
549,3184201
550,3190382
551,3190576
552,3229304
553,3570888
554,3579277
555,3606609
556,3659064
557,3683130
558,3699786
559,3702220
560,3745602
561,3751719
562,3777424
563,3777669
564,3780102
565,3783066
566,3794279
567,3842285
568,3887135
569,3913863
570,4019288
571,4024883
572,4034781
573,4054019
574,4069723
575,4071088
576,4074180
577,4077548
578,4109867
579,4145667
580,4176413
581,4177646
582,4177665
583,4178252
584,4194091
585,4259912
586,4571910
587,4940227
588,5275220
589,5275282
590,5277137
591,5282133
592,5286108
593,5287564
594,5302293
595,5303321
596,5303570
597,5306118
598,5306366
599,5307599
600,5312582
601,5314128
602,5314953
603,5316804
604,5316849
605,5317098
606,5321301
607,5327138
608,5348508
609,5382285
610,5534061
611,5564738
612,5567037
613,5572222
614,5579938
615,5601157
616,5601460
617,5614833
618,5645753
619,5651920
620,5656802
621,5687413
622,5706100
623,6029495
624,7224436
625,7225792
626,7269004
627,7269072
628,7293350
629,7294243
630,7304204
631,7319410
632,7327880
633,7385023
634,7397366
635,7502655
636,7645498
637,7648738
638,7713345
639,7744879
640,7847055
641,7855931
642,7880433
643,7895592
644,7921289
645,8013878
646,8167387
647,8192300
648,8394037
649,9033819
650,9124304
651,9796817
652,10749051
653,2650738
654,2650961
655,2669201
656,2678026
657,2678430
658,2680758
659,2681030
660,2720378
661,2730590
662,2736558
663,2736675
664,2753371
665,2755592
666,2757081
667,2757200
668,2770795
669,2788141
670,2794927
671,2812702
672,2813702
673,2817646
674,2817664
675,2839021
676,2843713
677,2846303
678,2847814
679,2871019
680,2905795
681,2907470
682,2920336
683,2921432
684,2927208
685,2941357
686,2946159
687,2951839
688,2956547
689,2973039
690,3012663
691,3038167
692,3038174
693,3039430
694,3055569
695,3074026
696,3074270
697,3114229
698,3130895
699,3152094
700,3154590
701,3156997
702,3169833
703,3177321
704,3183621
705,3233020
706,3599466
707,3620386
708,3660384
709,3709416
710,3711933
711,3722798
712,3748283
713,3782591
714,3822290
715,3832255
716,3832728
717,3874182
718,3894319
719,3898604
720,3934757
721,4015296
722,4024622
723,4028799
724,4051612
725,4105523
726,4133850
727,4160909
728,4173107
729,4193245
730,5273016
731,5274861
732,5293449
733,5295129
734,5295300
735,5313087
736,5313746
737,5313759
738,5315925
739,5316424
740,5316634
741,5325168
742,5327641
743,5330878
744,5338733
745,5350375
746,5354140
747,5355512
748,5420836
749,5533932
