;Unnamed: 0.1;Unnamed: 0;coreid;idigbio:associatedsequences;idigbio:barcodeValue;dwc:basisOfRecord;dwc:bed;gbif:canonicalName;dwc:catalogNumber;dwc:class;dwc:collectionCode;dwc:collectionID;idigbio:collectionName;dwc:recordedBy;dwc:vernacularName;idigbio:commonnames;dwc:continent;dwc:coordinateUncertaintyInMeters;dwc:country;idigbio:isoCountryCode;dwc:county;dwc:datasetID;idigbio:eventDate;idigbio:dateModified;idigbio:dataQualityScore;dwc:earliestAgeOrLowestStage;dwc:earliestEonOrLowestEonothem;dwc:earliestEpochOrLowestSeries;dwc:earliestEraOrLowestErathem;dwc:earliestPeriodOrLowestSystem;idigbio:etag;dwc:eventDate;dwc:family;dwc:fieldNumber;idigbio:flags;dwc:formation;dwc:genus;dwc:geologicalContextID;idigbio:geoPoint;dwc:group;idigbio:hasImage;idigbio:hasMedia;dwc:higherClassification;dwc:highestBiostratigraphicZone;dwc:individualCount;dwc:infraspecificEpithet;dwc:institutionCode;dwc:institutionID;idigbio:institutionName;dwc:kingdom;dwc:latestAgeOrHighestStage;dwc:latestEonOrHighestEonothem;dwc:latestEpochOrHighestSeries;dwc:latestEraOrHighestErathem;dwc:latestPeriodOrHighestSystem;dwc:lithostratigraphicTerms;dwc:locality;dwc:lowestBiostratigraphicZone;dwc:maximumDepthInMeters;dwc:maximumElevationInMeters;idigbio:mediarecords;dwc:member;dwc:minimumDepthInMeters;dwc:minimumElevationInMeters;dwc:municipality;dwc:occurrenceID;dwc:order;dwc:phylum;idigbio:recordIds;dwc:recordNumber;idigbio:recordset;dwc:scientificName;dwc:specificEpithet;dwc:startDayOfYear;dwc:stateProvince;dwc:taxonID;dwc:taxonomicStatus;dwc:taxonRank;dwc:typeStatus;idigbio:uuid;dwc:verbatimEventDate;dwc:verbatimLocality;idigbio:version;dwc:waterBody
42;49;848;e6b1252a-4fed-4a1e-bb07-df3dba515ccf;;;preservedspecimen;;;101089665;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;o. beccari;;;asia;;indonesia;idn;west sumatra;;;2019-07-13T21:07:03.051928+00:00;0.2753623188405797;;;;;;86f897675d557cf00cd8546a785e88ebc3965003;;araceae;;"[""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;homalomena;;;;True;True;;;;;mo;;;plantae;;;;;;;;;;;"[""f3c1d4bf-f75c-445e-9e90-4af19ca3600a"", ""b55860b9-5208-4b17-8e56-9454da2b9319"", ""3d2f16ed-d248-484e-9ccb-a3a1101ef3f1""]";;;;;urn:catalog:mo:tropicos:101089665;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:101089665""]";beccari s.n.;5386d272-06c6-4027-b5d5-d588c2afe5e5;homalomena schott;undesignated;;sumatra;40027131.0;;;;e6b1252a-4fed-4a1e-bb07-df3dba515ccf;;;;
57;64;1187;27046900-f78d-4001-b298-4c9bd79243a9;;;preservedspecimen;;;1577704;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;porter p. lowry ii|et al.;;;asia;;indonesia;idn;;;2000-11-19;2021-02-09T22:16:17.693885+00:00;0.3333333333333333;;;;;;6e4c37aad6159f13035f7be9a2b97b814112e572;;nyctaginaceae;281;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;pisonia;;"{""lat"": -4.39833, ""lon"": 136.86694}";;False;False;;;14.0;;mo;;;plantae;;;;;;;central irian jaya province. freeport mining concession. kuala kencana. edge of intact humid forest between freeport office buildings and church.  collected with r. johns, t. utteridge, m. coode, s. aikens, e. lucas, b. adjie, t. daradjat & e. wally.;;;;;;;40.0;;urn:catalog:mo:tropicos:1577704;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:1577704""]";lowry 5241;5386d272-06c6-4027-b5d5-d588c2afe5e5;pisonia l.;undesignated;324.0;irian jaya;40009615.0;;;;27046900-f78d-4001-b298-4c9bd79243a9;;;;
70;81;1572;ce042ae9-9fb0-41b4-8bd7-e2aa22958e80;;;preservedspecimen;;;100655527;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;roji mahroji|samsul lasut;;;asia;;indonesia;idn;north maluku;;2013-11-08;2016-03-09T09:12:45.040858+00:00;0.3478260869565217;;;;;;96782e62bbe8889c8f467cde1c996b554bb9e172;;malvaceae;2013.101;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;microcos;;"{""lat"": 0.6548611, ""lon"": 127.8935}";;False;False;;;1.0;;mo;;;plantae;;;;;;;central halmahera. north jira. weda bay.;;;;;;;60.0;;urn:catalog:mo:tropicos:100655527;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100655527""]";mahroji 372;5386d272-06c6-4027-b5d5-d588c2afe5e5;microcos l.;undesignated;312.0;maluku islands;40018869.0;;;;ce042ae9-9fb0-41b4-8bd7-e2aa22958e80;;;;
76;87;1850;d2bf54f9-86a5-4d27-98a3-bb6a7333476e;;;preservedspecimen;;;965990;angiospermae;plants;f292c83d-305c-4b22-97cc-cd9c72e2931e;;"t. g. laman; g. weiblen";;;asia;;indonesia;idn;kalimantan barat;;1997-10-25T00:00:00+00:00;2021-12-17T13:38:43.356435+00:00;0.3623188405797101;;;;;;1a8ed39731918518802648a124dfa9673f8e743c;1997-10-25;moraceae;;"[""geopoint_datum_missing"", ""geopoint_low_precision"", ""idigbio_isocountrycode_added"", ""dwc_kingdom_suspect"", ""dwc_continent_added"", ""taxon_match_failed""]";;ficus;;"{""lat"": -1.216667, ""lon"": 110.1}";;True;True;;;;;min;;;plantae;;;;;;;gunung palung national park, cabang panti research site, trail rb6.49n2 t35351;;;;"[""745294de-1439-45da-ad6b-b6c84edc146b""]";;;20.0;ketapang;ca6a35af-a4c9-4c74-ac92-74ecb8dd8c10;;spermatophyta;"[""e2def7e2-1455-4856-9823-6d3738417d24\\2999515"", ""urn:uuid:ca6a35af-a4c9-4c74-ac92-74ecb8dd8c10"", ""e2def7e2-1455-4856-9823-6d3738417d24\\ca6a35af-a4c9-4c74-ac92-74ecb8dd8c10""]";tl 1420;e2def7e2-1455-4856-9823-6d3738417d24;ficus palungensis;palungensis;298.0;borneo;655388.0;;;isotype;d2bf54f9-86a5-4d27-98a3-bb6a7333476e;;;;
128;145;3783;1e89d0ea-64a8-4520-91e6-94d43b0956db;;;preservedspecimen;;;100655537;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;roji mahroji|idris haris|darius loha;;;asia;;indonesia;idn;north maluku;;2013-11-15;2016-06-05T22:27:21.759179+00:00;0.3478260869565217;;;;;;68bb01c81423ff9e1d0f16863b4a1a4d1facf738;;metteniusaceae;2013.104;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;platea;;"{""lat"": 0.6870833, ""lon"": 127.9845}";;False;False;;;1.0;;mo;;;plantae;;;;;;;east halmahera. kao rahai. camp 3. weda bay.;;;;;;;467.0;;urn:catalog:mo:tropicos:100655537;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100655537""]";mahroji 382;5386d272-06c6-4027-b5d5-d588c2afe5e5;platea excelsa blume;excelsa;319.0;maluku islands;50053493.0;;;;1e89d0ea-64a8-4520-91e6-94d43b0956db;;;;
148;169;4648;d127a392-bb30-4786-bd93-29487d424439;;;preservedspecimen;;;100888862;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;ismail a. rachman|tjut bangun|bilal sau;;;asia;;indonesia;idn;north maluku;;2015-09-12;2021-08-21T02:12:04.934460+00:00;0.3478260869565217;;;;;;d2f0c3de3dcae63a86041848f7f7cf2fe25ca4ff;;fabaceae;2015.7;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;bauhinia;;"{""lat"": 0.4791445, ""lon"": 127.9383916}";;False;False;;;1.0;;mo;;;plantae;;;;;;;central halmahera. weda bay. orr.;;;;;;;60.0;;urn:catalog:mo:tropicos:100888862;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100888862""]";rachman 1046;5386d272-06c6-4027-b5d5-d588c2afe5e5;bauhinia lingua dc.;lingua;255.0;maluku islands;13027329.0;;;;d127a392-bb30-4786-bd93-29487d424439;;;;
168;191;4828;4ce0d1dd-f307-4b4f-bc90-f1515cd5c277;;;preservedspecimen;;;100347894;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;willmar schwabe;;;asia;;indonesia;idn;;;1966-11-19;2020-07-24T21:35:50.192791+00:00;0.2898550724637681;;;;;;0d099f116005968340908a1d6346e7ab23c36c86;;cordiaceae;;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;cordia;;"{""lat"": -8.3666667, ""lon"": 115.1333333}";;False;False;;;2.0;;mo;;;plantae;;;;;;;bali (wongajagedet);;;;;;;;;urn:catalog:mo:tropicos:100347894;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100347894""]";schwabe s.n.;5386d272-06c6-4027-b5d5-d588c2afe5e5;cordia aspera g. forst.;aspera;323.0;;50308745.0;;;;4ce0d1dd-f307-4b4f-bc90-f1515cd5c277;;;;
204;238;5578;e998d643-60d6-4fb0-843f-161993357a22;;;preservedspecimen;;;100594254;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;ehoarn bidault|tariq stévart|roji mahroji|tjut bangun|idris haris;;;asia;;indonesia;idn;north maluku;;2013-04-30;2019-07-13T21:07:03.051928+00:00;0.3478260869565217;;;;;;1eb6a21441337a6fd88a52d82314036631b21ab4;;undesignated;2013.024;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;undesignated;;"{""lat"": 0.554167, ""lon"": 127.986667}";;True;True;;;5.0;;mo;;;plantae;;;;;;;central halmahera, weda bay, bukit limber.;;;;"[""0265f0e9-f5c1-4483-ba04-40172197377a"", ""3ae6e7e2-7178-447c-9d79-7030254713fd""]";;;1031.0;;urn:catalog:mo:tropicos:100594254;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100594254""]";bidault 1188;5386d272-06c6-4027-b5d5-d588c2afe5e5;celastraceae r. br.;undesignated;120.0;maluku islands;42000222.0;;;;e998d643-60d6-4fb0-843f-161993357a22;;;;
205;239;5600;7e6f664e-8156-4715-98e7-a214dbbd8d4f;;;preservedspecimen;;;100593208;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;arief hidayat|ehoarn bidault|tariq stévart|tjut bangun|roji mahroji|idris haris;;;asia;;indonesia;idn;north maluku;;2013-04-26;2019-07-13T21:07:03.051928+00:00;0.3478260869565217;;;;;;ad31484d1bf842f2c9efcf33d9ad7cb74eeef946;;undesignated;2013.15;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;undesignated;;"{""lat"": 0.6672223, ""lon"": 127.9741667}";;False;False;;;5.0;;mo;;;plantae;;;;;;;east halmahera. weda bay. kao rahai.;;;;;;;427.0;;urn:catalog:mo:tropicos:100593208;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100593208""]";hidayat 5072;5386d272-06c6-4027-b5d5-d588c2afe5e5;grammitidaceae newman;undesignated;116.0;maluku islands;42000398.0;;;;7e6f664e-8156-4715-98e7-a214dbbd8d4f;;;;
212;248;5987;b89d5c1b-5439-4aba-96ca-f54db96e1227;;;preservedspecimen;;;100534816;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;mary merello|tjut bangun|bahar fabanyo|roji mahroji|darius loha;;;asia;;indonesia;idn;north maluku;;2012-10-20;2019-07-13T21:07:03.051928+00:00;0.3478260869565217;;;;;;0402a420f613e253f597368855d6cb6c02fec85e;;clusiaceae;377;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;garcinia;;"{""lat"": 0.4788611, ""lon"": 127.9986666}";;True;True;;;6.0;;mo;;;plantae;;;;;;;central halmahera. weda bay. ake sake.;;;;"[""8de3c041-5054-4509-bbb3-832bdbf364ee"", ""6e9ec16d-5eff-4f2b-bce1-2e955a4a1420"", ""a60cfcdf-ccd5-4787-b4f8-20b99205dbe1"", ""e1b39fdb-de59-47a5-af64-848cdc73ea54"", ""1a0d373f-9be7-4c65-844d-bf986f8b392f"", ""115d0170-a638-4abc-8dca-a24b7ad9253b"", ""91716afa-6cd0-41ea-b6dc-b4cb3a5f4af3"", ""caee2b78-91fa-4f08-863f-1a4628c19b7f"", ""9d65a45f-65d6-4488-8eb1-20922a521ff1""]";;;21.0;;urn:catalog:mo:tropicos:100534816;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100534816""]";merello 3325;5386d272-06c6-4027-b5d5-d588c2afe5e5;garcinia latissima miq.;latissima;294.0;maluku islands;100340407.0;;;;b89d5c1b-5439-4aba-96ca-f54db96e1227;;;;
215;251;6173;5ea8b8bf-54e6-4f52-94bf-69a084a9ca26;;;preservedspecimen;;;100567433;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;roji mahroji|idris haris|tjut bangun|bahar fabanyo;;;asia;;indonesia;idn;north maluku;;2013-01-13;2019-07-13T21:07:03.051928+00:00;0.3478260869565217;;;;;;6b3896c0eee7534cc5df0640b2b41425a5e79042;;myrtaceae;2013.49;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;syzygium;;"{""lat"": 0.4882222, ""lon"": 127.9075833}";;True;True;;;8.0;;mo;;;plantae;;;;;;;central halmahera. weda bay. doromesmesan.;;;;"[""1e873a79-1e37-47dc-93f7-c8a34cfa05bc"", ""7d927204-6dff-4ab6-a73a-63028b414235""]";;;79.0;;urn:catalog:mo:tropicos:100567433;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100567433""]";mahroji 187;5386d272-06c6-4027-b5d5-d588c2afe5e5;syzygium p. browne ex gaertn.;undesignated;13.0;maluku islands;40009310.0;;;;5ea8b8bf-54e6-4f52-94bf-69a084a9ca26;;;;
216;252;6174;3d94f19d-0fa8-4c11-902e-ec33065518ee;;;preservedspecimen;;;100551173;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;tjut bangun|lalao andriamahefarivo|richard razakamalala|samsul lasut|ahmad yani;;;asia;;indonesia;idn;north maluku;;2012-12-07;2019-07-13T21:07:03.051928+00:00;0.3478260869565217;;;;;;8b4bd259f378b051a9f6d737adc7f24874275bec;;myrtaceae;2012.81;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;syzygium;;"{""lat"": 0.663, ""lon"": 127.972}";;True;True;;;2.0;;mo;;;plantae;;;;;;;east halmahera. weda bay. kao rahai.;;;;"[""13889fd4-3518-4174-8288-01368043dbcd"", ""f3cb440b-ceb1-499b-99a5-968b6277a6e5"", ""e8ef35d5-295a-4cb0-941e-6ebe07eca4ee"", ""6a75183f-4fc6-4f5d-b175-817c4f8b44f9"", ""9f12ca97-f689-4894-b85c-f21e1a673873"", ""1b897af6-f026-4a86-8690-52dfb2cec9e0""]";;;379.0;;urn:catalog:mo:tropicos:100551173;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100551173""]";bangun 287;5386d272-06c6-4027-b5d5-d588c2afe5e5;syzygium p. browne ex gaertn.;undesignated;342.0;maluku islands;40009310.0;;;;3d94f19d-0fa8-4c11-902e-ec33065518ee;;;;
224;262;6240;e00935cc-e00e-49ab-a4ec-50a686189a15;;;preservedspecimen;;;100573865;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;tjut bangun|samsul lasut|bahar fabanyo|ahmad yani;;;asia;;indonesia;idn;north maluku;;2013-02-21;2019-07-13T21:07:03.051928+00:00;0.3478260869565217;;;;;;dde4ba962ddc6fedd9ba37947b3238e95fafbede;;euphorbiaceae;2013.127;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;claoxylon;;"{""lat"": 0.6959722, ""lon"": 128.0155556}";;False;False;;;2.0;;mo;;;plantae;;;;;;;east halmahera. weda bay. kao rahai.;;;;;;;781.0;;urn:catalog:mo:tropicos:100573865;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100573865""]";bangun 553;5386d272-06c6-4027-b5d5-d588c2afe5e5;claoxylon a. juss.;undesignated;52.0;maluku islands;40009682.0;;;;e00935cc-e00e-49ab-a4ec-50a686189a15;;;;
225;263;6256;0a308135-a91e-425b-9e2a-5cd78e0dc8a7;;;preservedspecimen;;;100554547;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;lalao andriamahefarivo|deby arifiani|richard razakamalala|bahar fabanyo;;;asia;;indonesia;idn;north maluku;;2012-12-18;2020-07-24T21:35:50.192791+00:00;0.3478260869565217;;;;;;073b2924205c216db11a968c3c772e6c685f8555;;vitaceae;2012.2;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;cissus;;"{""lat"": 0.6116111, ""lon"": 127.9211389}";;True;True;;;6.0;;mo;;;plantae;;;;;;;central halmahera. weda bay. ake jira. along trail to camp 5.;;;;"[""748efe26-ee6c-4257-8f9a-ac8e956635c8""]";;;89.0;;urn:catalog:mo:tropicos:100554547;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100554547""]";andriamahefarivo 137;5386d272-06c6-4027-b5d5-d588c2afe5e5;cissus rostrata (miq.) korth. ex planch.;rostrata;353.0;maluku islands;34000820.0;;;;0a308135-a91e-425b-9e2a-5cd78e0dc8a7;;;;
226;264;6266;7c70ba0e-0e74-44e9-a733-805268ba800c;;;preservedspecimen;;;100577363;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;iska gushilman|roji mahroji|samsul lasut|delianci kulape;;;asia;;indonesia;idn;north maluku;;2013-03-15;2016-03-09T09:12:45.040858+00:00;0.3333333333333333;;;;;;599ebf6770c0bfffcc9ecdb5221b4f6859affced;;burseraceae;2013.133;"[""geopoint_datum_missing"", ""dwc_kingdom_suspect"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;canarium;;"{""lat"": 0.5272778, ""lon"": 127.9103056}";;False;False;;;8.0;;mo;;;plantae;;;;;;;central halmahera. weda bay. casuarina.;;;;;;;200.0;;urn:catalog:mo:tropicos:100577363;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100577363""]";gushilman 471;5386d272-06c6-4027-b5d5-d588c2afe5e5;canarium l.;undesignated;74.0;maluku islands;40000597.0;;;;7c70ba0e-0e74-44e9-a733-805268ba800c;;;;
232;271;6351;5d7e2dfe-48a7-4a78-aa0a-4751bff39796;;;preservedspecimen;;;100560454;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;tjut bangun|idris haris|roji mahroji|bahar fabanyo;;;asia;;indonesia;idn;north maluku;;2013-01-16;2019-07-13T21:07:03.051928+00:00;0.3478260869565217;;;;;;8bcc19d42b048cf2ab31bba64efe9dbb71df6112;;oleaceae;2013.125;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;chionanthus;;"{""lat"": 0.4834166, ""lon"": 127.97275}";;True;True;;;8.0;;mo;;;plantae;;;;;;;central halmahera. weda bay. tjetju.;;;;"[""98f8cddc-757e-436c-9ba3-df8cb0816c88"", ""3d647593-12f6-45ef-b304-10909073e6a5"", ""bd3983bb-aea7-44ef-8fb8-acd0594ef4b2""]";;;54.0;;urn:catalog:mo:tropicos:100560454;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100560454""]";bangun 542;5386d272-06c6-4027-b5d5-d588c2afe5e5;chionanthus l.;undesignated;16.0;maluku islands;40007107.0;;;;5d7e2dfe-48a7-4a78-aa0a-4751bff39796;;;;
234;273;6390;98e4a114-194b-4956-b6f9-86b55c197610;;;preservedspecimen;;;100601453;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;iska gushilman|samsul lasut|idris haris|bahar fabanyo;;;asia;;indonesia;idn;north maluku;;2013-05-31;2016-03-09T09:12:45.040858+00:00;0.3478260869565217;;;;;;591c2d5205594c3fc1a84b6c584a27a3590c6227;;rubiaceae;2013.179;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;canthium;;"{""lat"": 0.5265834, ""lon"": 127.9327778}";;False;False;;;6.0;;mo;;;plantae;;;;;;;central halmahera. weda bay. tarsan camp.;;;;;;;476.0;;urn:catalog:mo:tropicos:100601453;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100601453""]";gushilman 693;5386d272-06c6-4027-b5d5-d588c2afe5e5;canthium lam.;undesignated;151.0;maluku islands;40000814.0;;;;98e4a114-194b-4956-b6f9-86b55c197610;;;;
244;283;6577;b3eed40d-0b78-43f4-bd09-192f7d066178;;;preservedspecimen;;;100593980;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;weda bay shade house;;;asia;;indonesia;idn;north maluku;;2013-05-11;2016-03-09T09:12:45.040858+00:00;0.3478260869565217;;;;;;ce5d0d2dffd23132b28ddb78039fad03e0aeef4a;;orchidaceae;21;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;vanda;;"{""lat"": 0.5477777, ""lon"": 127.9786111}";;False;False;;;1.0;;mo;;;plantae;;;;;;;central halmahera. weda bay. bukit limber.;;;;;;;866.0;;urn:catalog:mo:tropicos:100593980;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100593980""]";shade house 558;5386d272-06c6-4027-b5d5-d588c2afe5e5;vanda jones ex r. br.;undesignated;131.0;maluku islands;40022863.0;;;;b3eed40d-0b78-43f4-bd09-192f7d066178;;;;
250;289;6585;b3973110-f3d1-40ab-853d-f3dfe1192263;;;preservedspecimen;;;100632646;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;weda bay shade house;;;asia;;indonesia;idn;north maluku;;2013-09-20;2019-07-13T21:07:03.051928+00:00;0.3478260869565217;;;;;;5b9ed4c54d25f2a9177e0a4ba551b8298bd509fa;;orchidaceae;36;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;liparis;;"{""lat"": 0.6014167, ""lon"": 127.9263056}";;False;False;;;1.0;;mo;;;plantae;;;;;;;central halmahera. weda bay. jira. camp 5.;;;;;;;82.0;;urn:catalog:mo:tropicos:100632646;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100632646""]";shade house 997;5386d272-06c6-4027-b5d5-d588c2afe5e5;liparis rich.;undesignated;263.0;maluku islands;40007417.0;;;;b3973110-f3d1-40ab-853d-f3dfe1192263;;;;
257;296;6600;c9ebde44-e29d-450c-85d6-514385ba323a;;;preservedspecimen;;;100593187;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;arief hidayat|ehoarn bidault|tariq stévart|tjut bangun|bahar fabanyo|roji mahroji;;;asia;;indonesia;idn;north maluku;;2013-04-24;2019-07-13T21:07:03.051928+00:00;0.3478260869565217;;;;;;3aa3c38a67caa914e29af53ecfd9578e24350712;;pteridaceae;2013.9;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;pteris;;"{""lat"": 0.53, ""lon"": 127.9116667}";;False;False;;;3.0;;mo;;;plantae;;;;;;;central halmahera. weda bay. casuarina.;;;;;;;142.0;;urn:catalog:mo:tropicos:100593187;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100593187""]";hidayat 5052;5386d272-06c6-4027-b5d5-d588c2afe5e5;pteris l.;undesignated;114.0;maluku islands;40019512.0;;;;c9ebde44-e29d-450c-85d6-514385ba323a;;;;
261;300;6717;5125448a-e99b-4ff5-8f2a-84f86ec401d3;;;preservedspecimen;;;100583136;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;iska gushilman|samsul lasut|bahar fabanyo;;;asia;;indonesia;idn;north maluku;;2013-04-11;2016-03-09T09:12:45.040858+00:00;0.3478260869565217;;;;;;fdcbb839595f2d9ef5b0f94d279341e6f5817361;;calophyllaceae;2013.151;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;calophyllum;;"{""lat"": 0.5294445, ""lon"": 127.9069167}";;False;False;;;8.0;;mo;;;plantae;;;;;;;central halmahera. weda bay. casuarina.;;;;;;;181.0;;urn:catalog:mo:tropicos:100583136;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100583136""]";gushilman 562;5386d272-06c6-4027-b5d5-d588c2afe5e5;calophyllum l.;undesignated;101.0;maluku islands;40035501.0;;;;5125448a-e99b-4ff5-8f2a-84f86ec401d3;;;;
350;402;7888;eaf845da-1135-42f7-878e-a14a70189333;;;preservedspecimen;;;101085809;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;o. beccari;;;asia;;indonesia;idn;west sumatra;;;2019-07-13T21:07:03.051928+00:00;0.2898550724637681;;;;;;3949fbdffed48bbc49c3a262ac54a3fd4265ffbd;;araceae;;"[""idigbio_isocountrycode_added""]";;amorphophallus;;;;True;True;;;;;mo;;;plantae;;;;;;;;;;;"[""7024118a-6ca0-4a19-b462-494dde21dd78"", ""bc1421d0-53cb-4ffc-8453-d9b70eca9cb8"", ""83f9f236-2d91-4d15-a2ff-0d540ae3a31d""]";;;;;urn:catalog:mo:tropicos:101085809;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:101085809""]";beccari s.n.;5386d272-06c6-4027-b5d5-d588c2afe5e5;amorphophallus gracilis engl.;gracilis;;sumatra;2100291.0;;;;eaf845da-1135-42f7-878e-a14a70189333;;;;
382;435;10500;a75f21b3-8db1-4f7a-b10a-ba331b191103;;;preservedspecimen;;;100934609;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;hugh cuming;;;asia;;indonesia;idn;;;;2019-07-13T21:07:03.051928+00:00;0.2753623188405797;;;;;;2021391297ae0c7e408f71072f2e62f542ebb5f9;;undesignated;;"[""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;undesignated;;;;True;True;;;1.0;;mo;;;plantae;;;;;;;moluccas.;;;;"[""501ed22b-beb3-4b62-bf0a-a759789d2a4b""]";;;;;urn:catalog:mo:tropicos:100934609;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100934609""]";cuming 2293;5386d272-06c6-4027-b5d5-d588c2afe5e5;loganiaceae r. br. ex mart.;undesignated;;moluccas;42000274.0;;;;a75f21b3-8db1-4f7a-b10a-ba331b191103;;;;
