;Unnamed: 0.1;Unnamed: 0;coreid;idigbio:associatedsequences;idigbio:barcodeValue;dwc:basisOfRecord;dwc:bed;gbif:canonicalName;dwc:catalogNumber;dwc:class;dwc:collectionCode;dwc:collectionID;idigbio:collectionName;dwc:recordedBy;dwc:vernacularName;idigbio:commonnames;dwc:continent;dwc:coordinateUncertaintyInMeters;dwc:country;idigbio:isoCountryCode;dwc:county;dwc:datasetID;idigbio:eventDate;idigbio:dateModified;idigbio:dataQualityScore;dwc:earliestAgeOrLowestStage;dwc:earliestEonOrLowestEonothem;dwc:earliestEpochOrLowestSeries;dwc:earliestEraOrLowestErathem;dwc:earliestPeriodOrLowestSystem;idigbio:etag;dwc:eventDate;dwc:family;dwc:fieldNumber;idigbio:flags;dwc:formation;dwc:genus;dwc:geologicalContextID;idigbio:geoPoint;dwc:group;idigbio:hasImage;idigbio:hasMedia;dwc:higherClassification;dwc:highestBiostratigraphicZone;dwc:individualCount;dwc:infraspecificEpithet;dwc:institutionCode;dwc:institutionID;idigbio:institutionName;dwc:kingdom;dwc:latestAgeOrHighestStage;dwc:latestEonOrHighestEonothem;dwc:latestEpochOrHighestSeries;dwc:latestEraOrHighestErathem;dwc:latestPeriodOrHighestSystem;dwc:lithostratigraphicTerms;dwc:locality;dwc:lowestBiostratigraphicZone;dwc:maximumDepthInMeters;dwc:maximumElevationInMeters;idigbio:mediarecords;dwc:member;dwc:minimumDepthInMeters;dwc:minimumElevationInMeters;dwc:municipality;dwc:occurrenceID;dwc:order;dwc:phylum;idigbio:recordIds;dwc:recordNumber;idigbio:recordset;dwc:scientificName;dwc:specificEpithet;dwc:startDayOfYear;dwc:stateProvince;dwc:taxonID;dwc:taxonomicStatus;dwc:taxonRank;dwc:typeStatus;idigbio:uuid;dwc:verbatimEventDate;dwc:verbatimLocality;idigbio:version;dwc:waterBody
271911;321766;561304;4fcc6b21-333f-4889-9a1a-52ce8e1122c0;;;preservedspecimen;;;100722791;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;ilias bin paie;;;asia;;indonesia;idn;north sumatra;;1986-03-08;2016-03-09T09:12:45.040858+00:00;0.3188405797101449;;;;;;ab91abcf1f985a74acdaaa0574b936ce4ba0fd2f;;primulaceae;;"[""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;labisia;;;;False;False;;;1.0;;mo;;;plantae;;;;;;;"""bkt tamawai tingtian, mujan, skerang, sri aman simanggang""";;;;;;;;;urn:catalog:mo:tropicos:100722791;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100722791""]";paie 51929;5386d272-06c6-4027-b5d5-d588c2afe5e5;labisia pumila (blume) fern.-vill.;pumila;67.0;sumatra;50284959.0;;;;4fcc6b21-333f-4889-9a1a-52ce8e1122c0;;;;
271923;321782;561330;9849509d-1ae7-4e52-acd3-8898ab8d2b73;;;preservedspecimen;;;100601455;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;iska gushilman|idris haris|samsul lasut|bahar fabanyo;;;asia;;indonesia;idn;north maluku;;2013-05-31;2019-07-13T21:07:03.051928+00:00;0.3478260869565217;;;;;;f2307a87f932d71ee3f270d2bc640154d6aee88b;;myrtaceae;2013.180;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;syzygium;;"{""lat"": 0.5263889, ""lon"": 127.93175}";;False;False;;;2.0;;mo;;;plantae;;;;;;;central halmahera. weda bay. tarsan camp.;;;;;;;481.0;;urn:catalog:mo:tropicos:100601455;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100601455""]";gushilman 690;5386d272-06c6-4027-b5d5-d588c2afe5e5;syzygium p. browne ex gaertn.;undesignated;151.0;maluku islands;40009310.0;;;;9849509d-1ae7-4e52-acd3-8898ab8d2b73;;;;
271932;321792;561346;34b44003-21ee-4308-bf64-5efba5005747;;;preservedspecimen;;;90083666;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;willem meijer;;;asia;;indonesia;idn;west sumatra;;;2019-07-13T21:07:03.051928+00:00;0.2898550724637681;;;;;;f3d0bf6f479760d334f57704938cf7842083d82c;;undesignated;;"[""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;undesignated;;;;False;False;;;1.0;;mo;;;plantae;;;;;;;mt. galang. south at padang alaong road to solok(?);;;;;;;;;urn:catalog:mo:tropicos:90083666;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:90083666""]";meijer 15967b;5386d272-06c6-4027-b5d5-d588c2afe5e5;hymenophyllaceae mart.;undesignated;;sumatra;42000399.0;;;;34b44003-21ee-4308-bf64-5efba5005747;;;;
271935;321795;561351;43f16c06-5365-4589-b52a-49375ea1b70c;;;preservedspecimen;;;100645214;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;tjut bangun|bahar fabanyo|samsul lasut;;;asia;;indonesia;idn;north maluku;;2013-10-26;2019-07-13T21:07:03.051928+00:00;0.3478260869565217;;;;;;c61707c72cc9954c38bcdd448f3ca8a33b0854c8;;undesignated;2013.250;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;undesignated;;"{""lat"": 0.49825, ""lon"": 128.0203056}";;False;False;;;1.0;;mo;;;plantae;;;;;;;central halmahera. bukit limber. weda bay.;;;;;;;271.0;;urn:catalog:mo:tropicos:100645214;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100645214""]";bangun 960;5386d272-06c6-4027-b5d5-d588c2afe5e5;dilleniaceae salisb.;undesignated;299.0;maluku islands;42000080.0;;;;43f16c06-5365-4589-b52a-49375ea1b70c;;;;
271945;321806;561368;7f1cac2a-c132-4a81-b03d-4eb0c25a2e2b;;;preservedspecimen;;;100711042;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;weda bay spirit collection;;;asia;;indonesia;idn;north maluku;;2013-06-21;2016-03-09T09:12:45.040858+00:00;0.3478260869565217;;;;;;650cd19d457806a0ecf268e716af67f07fe4a4a5;;orchidaceae;23;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;dipodium;;"{""lat"": 0.5508056, ""lon"": 127.9763334}";;False;False;;;1.0;;mo;;;plantae;;;;;;;central halmahera. weda bay. bukit limber.;;;;;;;939.0;;urn:catalog:mo:tropicos:100711042;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100711042""]";spirit collection 52w620;5386d272-06c6-4027-b5d5-d588c2afe5e5;dipodium r. br.;undesignated;172.0;maluku islands;40033088.0;;;;7f1cac2a-c132-4a81-b03d-4eb0c25a2e2b;;;;
272017;321899;561526;e904cc3b-b7d5-412f-8564-24c2fe85ca1d;;;preservedspecimen;;;101173447;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;masahiro kato|et al.;;;asia;;indonesia;idn;;;1985-02-21;2020-07-24T21:35:50.192791+00:00;0.3333333333333333;;;;;;1e31baadf33dc7890438599ea390bf3b4fa5de50;;hymenophyllaceae;;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added""]";;cephalomanes;;"{""lat"": -3.2166667, ""lon"": 129.6}";;True;True;;;1.0;;mo;;;plantae;;;;;;;c. seram, manusela national park: along a trail between hatumete (sea level) and hoale pass (1770 m), southern slope of murkele ridge, kecamatan (district) tehoru.;;;1770.0;"[""e8424228-f8af-45a5-a5d6-086c1d6fe0df""]";;;1200.0;;urn:catalog:mo:tropicos:101173447;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:101173447""]";kato c-7484;5386d272-06c6-4027-b5d5-d588c2afe5e5;cephalomanes c. presl;undesignated;52.0;;40004006.0;;;;e904cc3b-b7d5-412f-8564-24c2fe85ca1d;;;;
272029;321911;561545;7f8ca41a-7faf-4562-a1c0-72913655a320;;;preservedspecimen;;;100691181;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;gen murata;;;asia;;indonesia;idn;central java;;1973-08-18;2016-03-09T09:12:45.040858+00:00;0.3478260869565217;;;;;;4a9257f1ea988de891872ff65d48f365f770c493;;primulaceae;;"[""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;ardisia;;;;False;False;;;;;mo;;;plantae;;;;;;;route from baturaden to gungung slamet;;;2000.0;;;;1000.0;;urn:catalog:mo:tropicos:100691181;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100691181""]";murata 957;5386d272-06c6-4027-b5d5-d588c2afe5e5;ardisia villosa roxb.;villosa;230.0;java;22001898.0;;;;7f8ca41a-7faf-4562-a1c0-72913655a320;;;;
272081;321968;561641;721a1324-1478-48d6-9174-f96b66598198;;;preservedspecimen;;;100546427;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;roji mahroji|bahar fabanyo|malik soleman;;;asia;;indonesia;idn;north maluku;;2012-10-29;2019-07-13T21:07:03.051928+00:00;0.3478260869565217;;;;;;3d84a4b1e6ecb8e162c1b6a55581c38defa91976;;undesignated;2012.18;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;undesignated;;"{""lat"": 0.5104167, ""lon"": 128.0069444}";;True;True;;;7.0;;mo;;;plantae;;;;;;;central halmahera. weda bay. km 6 to bukit limber. weda bay.;;;;"[""21383820-c24e-449b-8256-509d4b195d62"", ""ff6e5c9b-99ef-484a-ae4a-0ec5d58d6dba"", ""d174507c-d9f0-4f2d-b439-06c3b671954f"", ""f58a50b1-160b-452a-b875-f5f72d2e5785"", ""90ad3f81-c692-41f6-8def-8d8f55172c0f"", ""91415dfb-e5df-460b-9e02-9767666bc5bb"", ""93d171e5-397a-443f-9ac7-c0359e9a4db4"", ""7f172eef-2cfe-482e-9e8b-d763071b0e5f"", ""8ebe6513-9cf2-4119-817f-9b9a1d35a0b6"", ""3ea71c8f-ef07-4b27-9eb7-85b4b2225b9b"", ""0cef6090-7654-4901-a794-e90fa782fd4a"", ""bdecd2d6-342d-4475-a828-d5d3f1937d5e"", ""82338532-8a6f-424c-bc7c-ba6d6ddecbcb"", ""4d2d72ec-35ff-48ce-bb0c-632be2264627"", ""296064f0-7990-4c18-9afa-e310a3806cf7"", ""c9b87f8d-e268-418f-8ff6-71dd283e31c2"", ""5342f20f-4a41-4da0-8ee8-c86da1fc4f81"", ""83d4d80e-1c5e-4fa3-86b5-4cd6c63f12cc"", ""55436d1e-2232-4310-b86f-5e2b3c6c722f""]";;;451.0;;urn:catalog:mo:tropicos:100546427;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100546427""]";mahroji 72;5386d272-06c6-4027-b5d5-d588c2afe5e5;apocynaceae juss.;undesignated;303.0;maluku islands;42000278.0;;;;721a1324-1478-48d6-9174-f96b66598198;;;;
272120;322022;561750;4269a4dd-d26c-4c9b-8691-3331741b17e2;;;preservedspecimen;;;100559370;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;samsul lasut|iska gushilman|bahar fabanyo|malik soleman;;;asia;;indonesia;idn;north maluku;;2012-12-29;2016-03-09T09:12:45.040858+00:00;0.3478260869565217;;;;;;b3ab93b97f33864d69c47d34bc330b2816106dcb;;malvaceae;2012.02;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;grewia;;"{""lat"": 0.4901111, ""lon"": 127.9074444}";;True;True;;;8.0;;mo;;;plantae;;;;;;;central halmahera. weda bay. doromesmesan.;;;;"[""df8f1cd3-a33b-45b8-84f6-bcf75bee32fe"", ""06177d02-94c8-4f0e-b306-7123f1443127"", ""1ed5de96-9f8c-4056-87d5-48644f2f9bde""]";;;91.0;;urn:catalog:mo:tropicos:100559370;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100559370""]";lasut 07;5386d272-06c6-4027-b5d5-d588c2afe5e5;grewia l.;undesignated;364.0;maluku islands;40017429.0;;;;4269a4dd-d26c-4c9b-8691-3331741b17e2;;;;
272122;322024;561767;e1b3e393-4739-4668-a8c1-f6c9423543b1;;;preservedspecimen;;;100577369;;mo;http://biocol.org/urn:lsid:biocol.org:col:15859;;tjut bangun|roji mahroji|samsul lasut;;;asia;;indonesia;idn;north maluku;;2013-03-17;2019-07-13T21:07:03.051928+00:00;0.3478260869565217;;;;;;9ef4bbb4979d4e390d8ac77032c7f2db14c2aee7;;lecythidaceae;2013.147;"[""geopoint_datum_missing"", ""idigbio_isocountrycode_added"", ""taxon_match_failed""]";;barringtonia;;"{""lat"": 0.527, ""lon"": 127.9101111}";;False;False;;;1.0;;mo;;;plantae;;;;;;;central halmahera. weda bay. casuarina.;;;;;;;183.0;;urn:catalog:mo:tropicos:100577369;;;"[""5386d272-06c6-4027-b5d5-d588c2afe5e5\\urn:catalog:mo:tropicos:100577369""]";bangun 650;5386d272-06c6-4027-b5d5-d588c2afe5e5;barringtonia j.r. forst. & g. forst.;undesignated;76.0;maluku islands;40025054.0;;;;e1b3e393-4739-4668-a8c1-f6c9423543b1;;;;
