;usageKey;scientificName;canonicalName;rank;status;confidence;note;matchType;kingdom;kingdomKey;synonym;acceptedUsageKey;phylum;order;family;genus;species;phylumKey;classKey;orderKey;familyKey;genusKey;speciesKey;class;alternatives;idigbio_coreid;idigbio_scientificName;idigbio_taxon_id
0;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;e6b1252a-4fed-4a1e-bb07-df3dba515ccf;homalomena schott;40027131.0
1;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;27046900-f78d-4001-b298-4c9bd79243a9;pisonia l.;40009615.0
2;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;ce042ae9-9fb0-41b4-8bd7-e2aa22958e80;microcos l.;40018869.0
3;5570057;Ficus palungensis Weiblen;Ficus palungensis;SPECIES;SYNONYM;100;"Similarity: name=110; authorship=0; kingdom=10; rank=0; status=0; singleMatch=5";EXACT;Plantae;6;True;5570188.0;Tracheophyta;Rosales;Moraceae;Ficus;Ficus acamptophylla;7707728.0;220.0;691.0;6640.0;2984588.0;5570188.0;Magnoliopsida;;d2bf54f9-86a5-4d27-98a3-bb6a7333476e;ficus palungensis;655388.0
4;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;1e89d0ea-64a8-4520-91e6-94d43b0956db;platea excelsa blume;50053493.0
5;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;d127a392-bb30-4786-bd93-29487d424439;bauhinia lingua dc.;13027329.0
6;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;4ce0d1dd-f307-4b4f-bc90-f1515cd5c277;cordia aspera g. forst.;50308745.0
7;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;e998d643-60d6-4fb0-843f-161993357a22;celastraceae r. br.;42000222.0
8;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;7e6f664e-8156-4715-98e7-a214dbbd8d4f;grammitidaceae newman;42000398.0
9;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;b89d5c1b-5439-4aba-96ca-f54db96e1227;garcinia latissima miq.;100340407.0
10;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;5ea8b8bf-54e6-4f52-94bf-69a084a9ca26;syzygium p. browne ex gaertn.;40009310.0
11;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;3d94f19d-0fa8-4c11-902e-ec33065518ee;syzygium p. browne ex gaertn.;40009310.0
12;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;e00935cc-e00e-49ab-a4ec-50a686189a15;claoxylon a. juss.;40009682.0
13;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;0a308135-a91e-425b-9e2a-5cd78e0dc8a7;cissus rostrata (miq.) korth. ex planch.;34000820.0
14;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;7c70ba0e-0e74-44e9-a733-805268ba800c;canarium l.;40000597.0
15;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;5d7e2dfe-48a7-4a78-aa0a-4751bff39796;chionanthus l.;40007107.0
16;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;98e4a114-194b-4956-b6f9-86b55c197610;canthium lam.;40000814.0
17;6;Plantae;Plantae;KINGDOM;ACCEPTED;99;"Similarity: name=100; classification=4; rank=12; status=1; nextMatch=5";HIGHERRANK;Plantae;6;False;;;;;;;;;;;;;;;b3eed40d-0b78-43f4-bd09-192f7d066178;vanda jones ex r. br.;40022863.0
