;usageKey;scientificName;canonicalName;rank;status;confidence;matchType;kingdom;phylum;order;family;genus;species;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;speciesKey;synonym;class;acceptedUsageKey;note
443;7558255;Diplazium proliferum (Lam.) Thouars;Diplazium proliferum;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Polypodiales;Athyriaceae;Diplazium;Diplazium proliferum;6;7707728.0;7228684.0;392.0;4922264.0;2650853.0;7558255.0;False;Polypodiopsida;;
444;5601211;Diplectria furfurascens (Elmer) M.P.Nayar;Diplectria furfurascens;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Myrtales;Melastomataceae;Dissochaeta;Dissochaeta furfurascens;6;7707728.0;220.0;690.0;6683.0;3231519.0;5601089.0;True;Magnoliopsida;5601089.0;
445;7729793;Dischidia imbricata (Blume) Steud.;Dischidia imbricata;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Gentianales;Apocynaceae;Dischidia;Dischidia imbricata;6;7707728.0;220.0;412.0;6701.0;7150312.0;7729793.0;False;Magnoliopsida;;
446;8017070;Dischidia vidalii Becc.;Dischidia vidalii;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Gentianales;Apocynaceae;Dischidia;Dischidia vidalii;6;7707728.0;220.0;412.0;6701.0;7150312.0;8017070.0;False;Magnoliopsida;;
447;2975629;Dolichos tenuicaulis (Baker) Craib;Dolichos tenuicaulis;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Dolichos;Dolichos tenuicaulis;6;7707728.0;220.0;1370.0;5386.0;2975549.0;2975629.0;False;Magnoliopsida;;
448;5302997;Donax canniformis (G.Forst.) K.Schum.;Donax canniformis;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Zingiberales;Marantaceae;Donax;Donax canniformis;6;7707728.0;196.0;627.0;8784.0;2762131.0;5302997.0;False;Liliopsida;;
449;5304502;Dracaena angustifolia (Medik.) Roxb.;Dracaena angustifolia;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Asparagales;Asparagaceae;Dracaena;Dracaena angustifolia;6;7707728.0;196.0;1169.0;7683.0;2752062.0;5304502.0;False;Liliopsida;;
450;5304583;Dracaena fragrans (L.) Ker Gawl.;Dracaena fragrans;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Asparagales;Asparagaceae;Dracaena;Dracaena fragrans;6;7707728.0;196.0;1169.0;7683.0;2752062.0;5304583.0;False;Liliopsida;;
451;5304533;Dracaena laxissima Engl.;Dracaena laxissima;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Asparagales;Asparagaceae;Dracaena;Dracaena laxissima;6;7707728.0;196.0;1169.0;7683.0;2752062.0;5304533.0;False;Liliopsida;;
452;5304436;Dracaena reflexa Lam.;Dracaena reflexa;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Asparagales;Asparagaceae;Dracaena;Dracaena reflexa;6;7707728.0;196.0;1169.0;7683.0;2752062.0;5304436.0;False;Liliopsida;;
453;3190527;Dracontomelon dao (Blanco) Merr. & Rolfe;Dracontomelon dao;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Sapindales;Anacardiaceae;Dracontomelon;Dracontomelon dao;6;7707728.0;220.0;933.0;2398.0;3190526.0;3190527.0;False;Magnoliopsida;;
454;5384509;Drymaria cordata (L.) Willd. ex Roem. & Schult.;Drymaria cordata;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Caryophyllales;Caryophyllaceae;Drymaria;Drymaria cordata;6;7707728.0;220.0;422.0;2518.0;3085329.0;5384509.0;False;Magnoliopsida;;
455;7267996;Drymaria villosa Cham. & Schltdl.;Drymaria villosa;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Caryophyllales;Caryophyllaceae;Drymaria;Drymaria villosa;6;7707728.0;220.0;422.0;2518.0;3085329.0;7267996.0;False;Magnoliopsida;;
456;4025869;Drymoglossum piloselloides (L.) C.Presl;Drymoglossum piloselloides;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Polypodiales;Polypodiaceae;Pyrrosia;Pyrrosia piloselloides;6;7707728.0;7228684.0;392.0;2368.0;3229304.0;5647918.0;True;Polypodiopsida;5647918.0;
457;7126715;Drynaria quercifolia (L.) J.Sm.;Drynaria quercifolia;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Polypodiales;Polypodiaceae;Drynaria;Drynaria quercifolia;6;7707728.0;7228684.0;392.0;2368.0;7126669.0;7126715.0;False;Polypodiopsida;;
458;7126699;Drynaria rigidula (Sw.) Bedd.;Drynaria rigidula;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Polypodiales;Polypodiaceae;Drynaria;Drynaria rigidula;6;7707728.0;7228684.0;392.0;2368.0;7126669.0;7126699.0;False;Polypodiopsida;;
459;4024274;Drynaria sparsisora (Desv.) T.Moore;Drynaria sparsisora;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Polypodiales;Polypodiaceae;Drynaria;Drynaria sparsisora;6;7707728.0;7228684.0;392.0;2368.0;7126669.0;4024274.0;False;Polypodiopsida;;
460;7299042;Dryobalanops oblongifolia Dyer;Dryobalanops oblongifolia;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malvales;Dipterocarpaceae;Dryobalanops;Dryobalanops oblongifolia;6;7707728.0;220.0;941.0;6645.0;3189689.0;7299042.0;False;Magnoliopsida;;
461;2925655;Duranta erecta L.;Duranta erecta;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Lamiales;Verbenaceae;Duranta;Duranta erecta;6;7707728.0;220.0;408.0;6689.0;2925654.0;2925655.0;False;Magnoliopsida;;
462;4073117;Durio kutejensis (Hassk.) Becc.;Durio kutejensis;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malvales;Malvaceae;Durio;Durio kutejensis;6;7707728.0;220.0;941.0;6685.0;3152229.0;4073117.0;False;Magnoliopsida;;
463;7502854;Durio zibethinus L.;Durio zibethinus;SPECIES;DOUBTFUL;100;EXACT;Plantae;Tracheophyta;Malvales;Malvaceae;Durio;Durio zibethinus;6;7707728.0;220.0;941.0;6685.0;3152229.0;7502854.0;False;Magnoliopsida;;
464;5568446;Dysphania ambrosioides (L.) Mosyakin & Clemants;Dysphania ambrosioides;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Caryophyllales;Amaranthaceae;Dysphania;Dysphania ambrosioides;6;7707728.0;220.0;422.0;3064.0;3083582.0;5568446.0;False;Magnoliopsida;;
