;Plant
0;Abelmoschus esculentus (L.) Moench
1;Abelmoschus manihot (L.) Medik.
2;Abelmoschus moschatus Medik.
3;Abrus precatorius L.
4;Acacia mangium Willd.
5;Acalypha australis L.
6;Acalypha hispida Burm.f.
7;Acalypha indica L.
8;Acalypha pleiogyne Airy Shaw
9;Acalypha vahliana Mull. Arg.
10;Acalypha wilkesiana Müll. Arg.
11;Acanthus ilicifolius L.
12;Achyranthes aspera L.
13;Achyranthes bidentata Blume
14;Acmella paniculata (Wall. ex DC.) R.K.Jansen
15;Acmella uliginosa (Sw.) Cass.
16;Acorus calamus L.
17;Acriopsis liliifolia (J.Koenig) Seidenf.
18;Acrostichum aureum L.
19;Actinoscirpus grossus (L.f.) Goetgh. & D.A.Simpson
20;Adenia macrophylla (Blume) Koord.
21;Adenium obesum (Forssk.) Roem. & Schult.
22;Adenostemma lavenia (L.) Kuntze
23;Adinandra dumosa Jack
24;Aegle marmelos (L.) Corrêa
25;Aerva lanata (L.) Juss.
26;Aerva sanguinolenta (L.) Blume
27;Aeschynanthus radicans Jack
28;Aeschynanthus tricolor Hook.
29;Agathis dammara (Lamb.) Rich. & A.Rich.
30;Agave desmettiana Jacobi
31;Ageratina riparia (Regel) R.M.King & H.Rob.
32;Ageratum conyzoides L.
33;Ageratum houstonianum Mill.
34;Aglaia elliptica Bl.
35;Aglaonema commutatum Schott
36;Aglaonema crispum (Pit. & Man.) D.H. Nicol
37;Aglaonema pictum (Roxb.) Kunth
38;Albertisia papuana Becc.
39;Albizia saman (Jacq.) Merr.
40;Alchornea tiliifolia (Benth.) Müll.Arg.
41;Aleurites moluccana (L.) Willd.
42;Aleurites moluccanus (L.) Willd.
43;Allamanda cathartica L.
44;Allamanda schottii Pohl
45;Allium ampeloprasum L.
46;Allium cepa L.
47;Allium fistulosum L.
48;Allium ramosum L.
49;Allium sativum L.
50;Allium schoenoprasum L.
51;Allium tuberosum Rottler ex Spreng.
52;Allophylus cobbe (L.) Raeusch.
53;Alocasia cucullata (Lour.) G.Don
54;Alocasia macrorrhizos (L.) G.Don
55;Aloe vera (L.) Burm.f.
56;Alphitonia incana (Roxb.) Teijsm. & Binn. ex Kurz
57;Alpinia caerulea (R. Br.) Benth.
58;Alpinia galanga (L.) Willd.
59;Alpinia malaccensis (Burm.f.) Roscoe
60;Alpinia nutans (L.) Roscoe
61;Alpinia purpurata (Vieill.) K.Schum.
62;Alpinia zerumbet (Pers.) B.L. Burtt & R.M. Sm.
63;Alstonia pneumatophora Baker ex Den Berger
64;Alstonia scholaris (L.) R. Br.
