;Plant
65;Alternanthera amoena Back. & Sloot
66;Alternanthera brasiliana (L.) Kuntze
67;Alternanthera sessilis (L.) R.Br. ex DC.
68;Alysicarpus vaginalis (L.) DC.
69;Alyxia reinwardtii Blume
70;Alyxia stellata (J.R.Forst. & G.Forst.) Roem. & Schult.
71;Amaranthus hybridus L.
72;Amaranthus spinosus L.
73;Amaranthus tricolor L.
74;Amaranthus viridis L.
75;Amomum aculeatum Roxb.
76;Amomum coccineum (Bl.) K.Schum
77;Amomum compactum Soland. Ex Maton
78;Amomum dealbatum Roxb.
79;Amomum lappaceum Ridl.
80;Amorphophallus paeoniifolius (Dennst.) Nicolson
81;Amorphophallus titanum (Becc.) Becc. ex Arcang.
82;Amorphophallus variabilis Blume
83;Ampelocissus elegans Gagnep.
84;Amyema tristis (Zoll.) Tiegh.
85;Anacardium occidentale L.
86;Anadendrum latifolium Hook. F.
87;Anamirta cocculus (L.) Wight & Arn.
88;Ananas comosus (L.) Merr.
89;Anaxagorea luzonensis A.Gray
90;Andrographis paniculata (Burm.f.) Nees
91;Angiopteris evecta (G. Forst.) Hoffm.
92;Anisophyllea disticha (Jack) Baill.
93;Annona muricata L.
94;Annona reticulata L.
95;Annona squamosa L.
96;Anplectrum glaucum (Jack) Triana
97;Anredera cordifolia (Ten.) Steenis
98;Antidesma bunius (L.) Spreng.
99;Antidesma montanum Blume
100;Antidesma platyphyllum H.Mann
101;Antigonon leptopus Hook. & Arn.
102;Antiphytum stoechadifolium (Cham.) A.DC.
103;Antrophyum reticulatum (G. Forst.) Kaulf.
104;Apium graveolens L.
105;Aporosa aurita (Tul.) Miq.
106;Aporosa frutescens Blume
107;Aquilaria malaccensis Lam.
108;Arachis hypogaea L.
109;Arachnis × maingayi (Hook.f.) Schltr.
110;Arachnis flos-aeris (L.) Rchb.f.
111;Aralia spinosa L.
112;Aralidium pinnatifidum (Jungh. & de Vriese) Miq.
113;Arcangelisia flava (L.) Merr.
114;Archidendron clypearia (Jack) I.C.Nielsen
115;Archidendron ellipticum (Blanco) I.C.Nielsen
116;Archidendron jiringa (Jack) I.C.Nielsen
117;Archidendron microcarpum (Benth.) I.C.Nielsen
118;Archidendron pauciflorum (Benth.) I.C.Nielsen
119;Ardisia crispa (Thunb.) A.DC.
120;Ardisia elliptica Thunb.
121;Ardisia humilis Vahl
122;Ardisia laevigata Blume
123;Ardisia purpurea Reinw. ex Blume
124;Areca catechu L.
125;Areca vestiaria Giseke
126;Arenga pinnata (Wurmb) Merr.
127;Arenga undulatifolia Becc.
128;Argyreia nervosa (Burm. f.) Bojer
129;Aristolochia foveolata Merr.
130;Aristolochia papillifolia Ding Hou
131;Artabotrys suaveolens (Blume) Blume
132;Artemisia cina Berg
133;Artemisia vulgaris L.
134;Arthrophyllum diversifolium Blume
135;Artocarpus altilis (Park.) Fosberg
136;Artocarpus elasticus Reinw. ex Blume
137;Artocarpus heterophyllus Lam.
138;Artocarpus integer (Thunb.) Merr.
139;Artocarpus lanceifolius Roxb.
140;Artocarpus odoratissimus Blanco
141;Artocarpus rigidus Blume
142;Artocarpus sericicarpus F.M.Jarrett
143;Arytera littoralis Blume
144;Asplenium adiantum-nigrum L.
145;Asplenium nidus L.
146;Astronia papetaria Blume
147;Asystasia gangetica (L.) T.Anderson
148;Auricularia auricula-judae Schrot.
149;Austroeupatorium inulaefolium (Kunth) R.M.King & H.Rob.
150;Averrhoa bilimbi L.
151;Averrhoa carambola L.
152;Avicennia alba Bl.
153;Axonopus compressus (Sw.) P.Beauv.
154;Ayapana triplinervis (Vahl) R.M.King & H.Rob.
155;Azadirachta indica A.Juss.
156;Baccaurea lanceolata (Miq.) M.A.
157;Baccaurea motleyana (Müll.Arg.) Müll.Arg.
158;Baccaurea racemosa (Reinw. ex Blume) Müll.Arg.
159;Bambusa heterostachya (Munro) Holttum
160;Bambusa vulgaris Schrad.
161;Barleria cristata L.
162;Barleria lupulina Lindl.
163;Barleria prionitis L.
164;Barringtonia acutangula (L.) Gaertn.
165;Barringtonia asiatica (L.) Kurz
166;Barringtonia racemosa (L.) Spreng.
167;Basella alba L.
168;Basilicum polystachyon (L.) Moench
169;Bauhinia acuminata L.
170;Bauhinia bidentata Jack
171;Bauhinia excelsa (Miq.) Prain
172;Bauhinia monandra Kurz
173;Bauhinia purpurea L.
174;Bauhinia scandens L.
175;Bauhinia variegata L.
176;Bauhinia semibifida Roxb.
177;Belamcanda chinensis (L.) DC.
178;Bellucia axinanthera Triana
179;Bellucia pentamera Naudin
180;Benincasa hispida (Thunb.) Cogn.
181;Bidens biternata (Lour.) Merr. & Sherff
182;Bidens pilosa L.
183;Biophytum sensitivum (L.) DC.
184;Bischofia javanica Blume
185;Bixa orellana L.
186;Blechnum novae-zelandiae T.C.Chambers & P.A.Farrant
187;Blechnum orientale L.
188;Blumea balsamifera (L.) DC.
189;Blumea lacera (Burm.f.) DC.
190;Blumea laciniata (Wall. ex Roxb.) DC.
191;Blumea lanceolaria (Roxb.) Druce
192;Blumea riparia (Blume) DC.
193;Boehmeria celebica Blume
194;Boehmeria nivea (L.) Gaudich.
195;Boesenbergia rotunda (L.) Mansf.
196;Bombax ceiba L.
197;Borreria laevis (Lam.) Griseb.
198;Borreria hispida Spruce ex K.Schum
199;Bouea macrophylla Griff.
200;Bouea oppositifolia (Roxb.) Adelb.
201;Brachiaria mutica (Forssk.) Stapf
202;Brassica migra (L.) K. Koch
203;Brassica rapa L.
204;Breynia microphylla (Kurzweil ex Teijsm. & Binn.) Müll. Arg.
205;Breynia oblongifolia (Müll.Arg.) Müll.Arg.
206;Breynia vitis-idaea (Burm.f.) C.E.C.Fisch.
207;Bridelia glauca Blume
208;Bridelia monoica (Lour.) Merr
209;Bridelia tomentosa Blume
210;Broussonetia papyrifera (L.) L'Hér. ex Vent.
211;Brucea javanica (L.) Merr.
212;Brugmansia × candida Pers.
213;Brugmansia arborea (L.) Steud.
214;Brugmansia suaveolens (Humb. & Bonpl. ex Willd.) Bercht. & J.Presl
215;Bruguiera gymnorhiza (L.) Lam.
216;Bryophyllum daigremontianum (Raym.-Hamet & H. Perrier) A. Berger
217;Bryophyllum pinnatum (Lam.) Oken
218;Buchanania sessilifolia Blume
219;Caesalpinia bonduc (L.) Roxb.
220;Caesalpinia crista L.
221;Caesalpinia latisiliqua (Cav.) Hattink
222;Caesalpinia pulcherrima (L.) Sw.
223;Caesalpinia sappan L.
224;Caesalpinia sumatrana Roxb.
225;Cajanus cajan (L.) Millsp.
226;Calamus heteroideus Blume
227;Calamus inops Becc. ex K.Heyne
228;Calamus ornatus Blume
229;Calanthe triplicata (Willemet) Ames
230;Calliandra calothyrsus Meisn.
231;Callicarpa glabrifolia S.Atkins
232;Callicarpa longifolia Lam.
233;Callicarpa macrophylla Vahl
234;Callicarpa tomentosa (L.) L.
235;Calophyllum inophyllum L.
236;Calophyllum polyanthum Wall. ex Planch. & Triana
237;Calophyllum soualattri Burm.f.
238;Calotropis gigantea (L.) W.T. Aiton
239;Camellia sinensis (L.) Kuntze
240;Cananga odorata (Lam.) Hook.f. & Thomson
241;Canavalia ensiformis (L.) DC.
242;Canna indica L.
243;Canthium horridum Blume
244;Capparifoliaceae
245;Capsicum annuum L.
246;Capsicum frutescens L.
247;Carallia brachiata (Lour.) Merr.
248;Cardiospermum halicacabum L.
249;Carex baccans Nees
250;Carica papaya L.
251;Caryota mitis Lour.
252;Caryota rumphiana Mart.
253;Cassia fistula L.
254;Casuarina junghuhniana Miq.
255;Catharanthus roseus (L.) G.Don
256;Cayratia japonica (Thunb.) Gagnep.
257;Cayratia trifolia (L.) Domin
258;Cecropia peltata L.
259;Ceiba pentandra (L.) Gaertn.
260;Celosia argentea L.
261;Centella asiatica (L.) Urb.
262;Centotheca lappacea (L.) Desv.
263;Centratherum punctatum Cass.
264;Cerbera manghas L.
265;Cerbera odollam Gaertn.
266;Chamaecrista mimosoides (L.) Greene
267;Cheilocostus speciosus (J.Koenig) C.D.Specht
268;Chisocheton patens Blume
269;Chloranthus elatior Link
270;Chloranthus spicatus (Thunb.) Makino
271;Christella dentata (Forssk.) Brownsey & Jermy
272;Chromolaena odorata (L.) R.M.King & H.Rob.
273;Chrysoglossum ornatum Blume
274;Chrysopogon zizanioides (L.) Roberty
275;Cinchona calisaya Wedd.
276;Cinchona pubescens Vahl
277;Cinnamomum burmanni (Nees & T.Nees) Blume
278;Cinnamomum cassia (Nees & T.Nees) J.Presl
279;Cinnamomum culilawan Blume
280;Cinnamomum iners Rein. Ex Blume
281;Cinnamomum parthenoxylon (Jack) Meisn.
282;Cinnamomum sintoc Blume
283;Cinnamomum verum J.Presl
284;Cissus discolor Bl.
285;Cissus hastata Miq.
286;Cissus nodosa Blume
287;Cissus quadrangularis L.
288;Cissus repens Lam.
289;Cissus verticillata (L.) Nicolson & C.E.Jarvis
290;Citrullus lanatus (Thunb.) Matsum. & Nakai
291;Citrus aurantiifolia (Christm.) Swingle
292;Citrus aurantium L.
293;Citrus hystrix DC.
294;Citrus limon (L.) Osbeck
295;Citrus maxima (Burm.) Osbeck
296;Citrus microcarpa Bunge
297;Citrus sinensis (L.) Osbeck
298;Citrus x microcarpa Bunge
299;Claoxylon indicum (Reinw. ex Blume) Hassk.
300;Claoxylon longifolium (Blume) Endl. ex Hassk.
301;Clausena excavata Burm.f.
302;Cleisostoma subulatum Blume
303;Cleome gynandra L.
304;Cleome rutidosperma DC.
305;Cleome viscosa L.
306;Clerodendrum adenophysum Hallier f.
307;Clerodendrum buchananii (Roxb.) Walp.
308;Clerodendrum calamitosum L.
309;Clerodendrum chinense (Osbeck) Mabb.
310;Clerodendrum indicum (L.) Kuntze
311;Clerodendrum infortunatum L.
312;Clerodendrum japonicum (Thunb.) Sweet
313;Clerodendrum minahassae Teijsm. & Binn.
314;Clerodendrum paniculatum L.
315;Clerodendrum speciosissimum Drapiez
316;Clerodendrum thomsoniae Balf.f.
317;Clidemia hirta (L.) D. Don
318;Clinacanthus nutans (Burm.f.) Lindau
319;Clitoria ternatea L.
320;Cnestis palala (Lour.) Merr.
321;Coccinia grandis (L.) Voigt
322;Cocos nucifera L.
323;Codiaeum variegatum (L.) Rumph. ex A.Juss.
324;Coelogyne asperata Lindl.
325;Coffea arabica L.
326;Coffea canephora Pierre ex A.Froehner
327;Coix lacryma-jobi L.
328;Colocasia esculenta (L.) Schott
329;Colubrina asiatica (L.) Brongn.
330;Combretum indicum (L.) DeFilipps
331;Commelina diffusa Burm.f.
332;Commelina paludosa Blume
333;Commersonia bartramia (L.) Merr.
334;Connarus semidecandrus Jack
335;Conyza bonariensis var. leiotheca (S.F.Blake) Cuatrec.
336;Coptosapelta diffusa (Champ. ex Benth.) Steenis
337;Coptosapelta olaciformis (Merr.) Elmer
338;Corchorus capsularis L.
339;Corchorus olitorius L.
340;Cordia dichotoma G.Forst.
341;Cordia fragrantissima Kurz
342;Cordia subcordata Lam.
343;Cordyline fruticosa (L.) A.Chev.
344;Cordyline rubra Otto & A.Dietr.
345;Coriandrum sativum L.
346;Corymborkis flava (Sw.) Kuntze
347;Corymborkis veratrifolia (Reinw.) Blume
348;Corypha utan Lam.
349;Coscinium fenestratum (Goetgh.) Colebr.
350;Cosmos caudatus Kunth
351;Costus speciosus (J. Koenig) Sm.
352;Costus tappenbeckianus J.Braun & K.Schum.
353;Crassocephalum crepidioides (Benth.) S.Moore
354;Crateva religiosa G.Forst.
355;Cratoxylum formosum (Jack) Dyer
356;Crepidium acuminatum (D.Don) Szlach.
357;Crescentia cujete L.
358;Crinum asiaticum L.
359;Crinum jagus (J.Thomps.) Dandy
360;Crinum latifolium L.
361;Crotalaria ferruginea Benth.
362;Crotalaria incana L.
363;Crotalaria pallida Aiton
364;Crotalaria retusa L.
365;Croton tiglium L.
366;Cryptocarya massoy (Oken) Kosterm.
367;Cucumis sativus L.
368;Cucurbita moschata Duch.
369;Cucurbita pepo L.
370;Cuminum cyminum L.
371;Curculigo latifolia Dryand. ex W.T. Aiton
372;Curculigo orchioides Gaertn.
373;Curcuma aeruginosa Roxb.
374;Curcuma heyneana Valeton & Zijp
375;Curcuma longa L.
376;Curcuma mangga Valeton & Zijp
377;Curcuma zanthorrhiza Roxb.
378;Curcuma zedoaria (Christm.) Roscoe
379;Cuscuta australis R.Br.
380;Cyanthillium cinereum (L.) H.Rob.
381;Cyathea contaminans (Wall. ex Hook.) Copel.
382;Cyclea barbata Miers.
383;Cymbopogon citratus (DC.) Stapf
384;Cymbopogon nardus (L.) Rendle
385;Cynodon dactylon (L.) Pers.
386;Cynometra beddomei Prain
387;Cynometra cauliflora L.
388;Cyperus kyllingia Endl.
389;Cyperus rotundus L.
390;Cyrtandra longifolia (Wawra) Hillebr. ex C.B.Clarke
391;Cyrtandra pendula Blume
392;Cyrtandra picta Blume
393;Cyrtostachys renda Blume
394;Dasymaschalon dasymaschalum (Blume) I.M.Turner
395;Datura metel L.
396;Daucus carota L.
397;Davallia trichomanoides Blume
398;Deeringia amaranthoides (Lam.) Merr.
399;Dendrobium crumenatum Sw.
400;Dendrobium lamellatum (Blume) Lindl.
401;Dendrocalamus asper (Schult.) Backer
402;Dendrocnide sinuata (Blume) Chew
403;Dendrocnide stimulans (L.f.) Chew
404;Dendrophthoe carinata Danser
405;Dendrophthoe falcata (L.f.) Ettingsh.
406;Dendrophthoe pentandra (L.) Miq.
407;Dendrophthoe vitellinus (F.Muell.) Tiegh.
408;Derris elliptica (Wall.) Benth.
409;Desmodium gangeticum (L.) DC.
410;Desmodium heterophyllum (Willd.) DC.
411;Desmodium ovalifolium Guill. & Perr.
412;Desmodium triflorum (L.) DC.
413;Desmodium umbellatum (L.) DC.
414;Dialium laurina Wiild.
415;Dianella ensifolia (L.) DC.
416;Dichorisandra reginae (L.Linden & Rodigas) H.E.Moore
417;Dichroa febrifuga Lour.
418;Dichrocephala integrifolia (L. f.) Kuntze
419;Dicliptera chinensis Juss.
420;Dicranopteris linearis (Burm. f.) Underw.
421;Didymocarpus platypus C.B Clarke
422;Dieffenbachia amoena Bull.
423;Digitalis purpurea L.
424;Digitaria longiflora (Retz.) Pers.
425;Dillenia excelsa (Jack) Martelli ex Gilg.
426;Dillenia indica L.
427;Dillenia pentagyna Roxb.
428;Dillenia serrata Thunb.
429;Dillenia suffruticosa (Griff.) Martelli
430;Dimeria ornithopoda Trin.
431;Dimocarpus longan Lour.
432;Dioscorea alata L.
433;Dioscorea filiformis Blume
434;Dioscorea hispida Dennst.
435;Dioscorea japonica Thunb.
436;Dioscorea laurifolia Wall. ex Hook.f.
437;Diospyros borneensis Hiern.
438;Diospyros buxifolia (Blume) Hiern
439;Diospyros macrophylla Bl.
440;Diospyros salicifolia Humb. & Bonpl. ex Willd.
441;Diospyros sumatrana Miq.
442;Diplazium esculentum (Retz.) Sw.
443;Diplazium proliferum (Lam.) Thouars
444;Diplectria furfurascens M.P.Nayar
445;Dischidia imbricata (Blume) Steud.
446;Dischidia vidalii Becc.
447;Dolichos tenuicaulis (Baker) Craib
448;Donax canniformis (G.Forst.) K.Schum.
449;Dracaena angustifolia (Medik.) Roxb.
450;Dracaena fragrans (L.) Ker Gawl.
451;Dracaena laxissima Engl.
452;Dracaena reflexa Lam.
453;Dracontomelon dao (Blanco) Merr. & Rolfe
454;Drymaria cordata (L.) Willd. ex Roem. & Schult.
455;Drymaria villosa Schltdl. & Cham.
456;Drymoglossum piloselloides (L.) Presl.
457;Drynaria quercifolia (L.) J. Sm.
458;Drynaria rigidula (Sw.) Bedd.
459;Drynaria sparsisora (Desv.) T. Moore
460;Dryobalanops oblongifolia Dyer
461;Duranta erecta L.
462;Durio kutejensis (Hassk.) Becc.
463;Durio zibethinus L.
464;Dysphania ambrosioides (L.) Mosyakin & Clemants
465;Eclipta prostata (L.) L.
466;Elaeis guineensis Jacq.
467;Elaeocarpus floribundus Blume
468;Elaeocarpus grandiflorus Sm.
469;Elatostema integrifolium (D.Don) Wedd.
470;Elatostema lineolatum Wight
471;Elatostema platyphyllum Wedd.
472;Elatostema sinuatum (Blume) Hassk.
473;Eleiodoxa conferta (Griff.) Burret
474;Elephantopus mollis Kunth
475;Elephantopus scaber L.
476;Elephantopus tomentosus L.
477;Elettaria cardamomum (L.) Maton
478;Eleusine indica (L.) Gaertn.
479;Eleutherine bulbosa (Mill.) Urb.
480;Eleutherine palmifolia (L.) Merr.
481;Elytranthe parasitica (L.) Danser
482;Embelia ribes Burm.f.
483;Emilia sonchifolia (L.) DC.
484;Endospermum moluccanum (Teijsm. & Binn.) Kurz
485;Enhalus acoroides (L.f.) Royle
486;Entada gigas (L.) Fawc. & Rendle
487;Epipremnum pinnatum (L.) Engl.
488;Equisetum debile Roxb. ex Vaucher
489;Eragrostis amabilis (L.) Wight & Arn.
490;Eragrostis cilianensis (All.) Janch.
491;Erigeron sumatrensis Retz
492;Erioglossum rubiginosum (Roxb.) Blume
493;Eryngium foetidum L.
494;Erythrina subumbrans (Hassk.) Merr.
495;Erythrina variegata L.
496;Etlingera elatior (Jack) R.M. sm.
497;Etlingera megalocheilos (Griff.) A.D.Poulsen
498;Etlingera solaris (Blume) R.M.Sm.
499;Eucalyptus alba Reinw. ex Blume
500;Eugenia uniflora L.
501;Eupatorium chinense L.
502;Euphorbia antiquorum L.
503;Euphorbia bourgeana J. Gay ex Boiss.
504;Euphorbia cyathophora Murray
505;Euphorbia heterophylla L.
506;Euphorbia hirta L.
507;Euphorbia hyssopifolia L.
508;Euphorbia maculata L.
509;Euphorbia neriifolia L.
510;Euphorbia nutans Lag.
511;Euphorbia prostrata Aiton
512;Euphorbia pulcherrima Willd. ex Klotzsch
513;Euphorbia thymifolia L.
514;Euphorbia tirucalli L.
515;Euphorbia tithymaloides L.
516;Euphorbia trigona Mill.
517;Eurya nitida Korth.
518;Eurycoma longifolia Jack
519;Eusideroxylon zwageri Teijsm. & Binn.
520;Evodia hortensis J.R.Forst. & G.Forst.
521;Excoecaria cochinchinensis Lour.
522;Excoecaria bantamensis Müll.Arg
523;Fagraea racemosa Jack
524;Fibraurea tinctoria Lour.
525;Ficus altissima Blume
526;Ficus ampelas Burm.f.
527;Ficus benjamina L.
528;Ficus carica L.
529;Ficus deltoidea Jack
530;Ficus disticha Blume
531;Ficus fistulosa Reinw. ex. Bl
532;Ficus fulva Reinw. ex Blume
533;Ficus grossularioides Burm.f.
534;Ficus hirta Vahl
535;Ficus hispida L.f.
536;Ficus padana Burm.f.
537;Ficus punctata Thunb.
538;Ficus racemosa L.
539;Ficus rumphii Blume
540;Ficus septica Burm.f.
541;Ficus variegata Bl.
542;Ficus virgata Reinw. ex Blume
543;Fissistigma latifolium (Dunal) Merr.
544;Fissistigma oldhamii (Hemsl.) Merr.
545;Flacourtia indica (Burm.f.) Merr.
546;Flacourtia inermis Roxb.
547;Flacourtia rukam Zoll. & Moritzi
548;Flagellaria indica L.
549;Flemingia macrophylla (Willd.) Merr.
550;Flemingia parviflora Benth.
551;Flemingia strobilifera (L.) W.T.Aiton
552;Fleurya interrupta (L.) Gaudich.
553;Floscopa scandens Lour.
554;Flueggea virosa (Roxb. ex Willd.) Royle
555;Foeniculum vulgare Mill.
556;Fordia cauliflora Hemsl.
557;Fordia splendidissima (Miq.) Buijsen
558;Fragaria x ananassa (Duchesne ex Weston) Duchense ex Rozier
559;Fragraea fragans Roxb.
560;Furtadoa sumatrensis M.Hotta
561;Galearia fulva (Tul.) Miq.
562;Galearia filiformis (Blume) Boerl.
563;Galinsoga parviflora Cav.
564;Ganoderma lucidum (Curtis) P. Karst.
565;Garcinia celebica L.
566;Garcinia dioica Blume
567;Garcinia dulcis (Roxb.) Kurz
568;Garcinia forbesii King
569;Garcinia hanburyi Hook.f.
570;Garcinia mangostana L.
571;Garcinia parvifolia (Miq.) Miq.
572;Garcinia xanthochymus Hook.f. ex T.Anderson
573;Gardenia jasminoides J.Ellis
574;Garuga floribunda Decne.
575;Gastroclonium ovatum (Hudson) Papenfuss
576;Gendarussa vulgaris Nees
577;Geophila repens (L.) I.M.Johnst.
578;Gigantochloa apus (Schult. & Schult. f.) Kurz
579;Gigantochloa atroviolacea Widjaja
580;Gigantochloa atter (Hassk.) Kurz.
581;Gigantochloa hasskarliana (Kurz) Backer
582;Gigantochloa verticillata (Willd.) Munro
583;Gironniera subaequalis Planch.
584;Gliricidia sepium (Jacq.) Kunth ex Walp.
585;Globba fecunda A.Takano & H.Okada
586;Globba leucantha Miq.
587;Globba pendula Roxb.
588;Glochidion lutescens Blume
589;Glochidion molle Blume
590;Glochidion obscurum (Roxb. ex Willd.) Blume
591;Glochidion ramiflorum J.R.Forst. & G.Forst.
592;Glochidion rubrum BIume
593;Glochidion sericeum (Blume) Zoll. & Moritzi
594;Gloriosa superba L.
595;Gluta wallichii (Hook.f.) Ding Hou
596;Glycosmis pentaphylla (Retz.) DC.
597;Gmelina arborea Roxb. Ex Smith.
598;Gnetum cuspidatum Blume
599;Gnetum latifolium Blume
600;Gomphrena globosa L.
601;Goniothalamus macrophyllus (Blume) Hook.f. & Thomson
602;Goniothalamus velutinus Airy Shaw
603;Gonostegia hirta (Blume ex Hassk.) Miq.
604;Gossypium arboreum L.
605;Gossypium hirsutum L.
606;Grammatophyllum speciosum Blume
607;Graptophyllum pictum (L.) Griff.
608;Greenea corymbosa (Jack) Voigt
609;Grewia laevigata Vahl
610;Grewia multiflora Juss.
611;Guazuma ulmifolia Lam.
612;Guettarda speciosa L.
613;Gynotroches axillaris Blume
614;Gynura divaricata (L.) DC.
615;Gynura japonica (Thunb.) Juel
616;Gynura procumbens (Lour.) Merr.
617;Gynura pseudochina (L.) DC.
618;Hedychium coronarium J.König
619;Hedychium spicatum Sm.
620;Hedyotis costata R. Br. ex G. Don
621;Hedyotis pruinosa Wight & Arn.
622;Heliconia collinsiana Griggs
623;Helicteres isora L.
624;Heliotropium indicum L.
625;Helminthostachys zeylanica (L.) Hook.
626;Hemigraphis alternata (Burm.f.) T.Anderson
627;Hemigraphis angustifolia Hallier f.
628;Hemigraphis repanda Hallier f.
629;Hemigraphis reptans (G. Forst.) T. Anderson ex Hemsl.
630;Henslowia frutescens Champ. ex Benth.
631;Heritiera littoralis Aiton
632;Hibiscus × archeri W.Watson
633;Hibiscus calyphyllus Cav.
634;Hibiscus macrophyllus Roxb. ex Hornem.
635;Hibiscus mutabilis L.
636;Hibiscus radiatus Cav.
637;Hibiscus rosa-sinensis L.
638;Hibiscus sabdariffa L.
639;Hibiscus schizopetalus (Dyer) Hook. f.
640;Hibiscus surattensis L.
641;Hibiscus tiliaceus L.
642;Hippeastrum puniceum (Lam.) Voss
643;Hippeastrum vittatum (L'Hér.) Herb.
644;Hippobroma longiflora (L.) G.Don
645;Hippochaete debilis (Roxb. ex Vaucher) Ching
646;Homalanthus populifolius Graham
647;Homalanthus populneus (Geiseler) Pax
648;Homalocladium platycladum (F.Muell.) L.H.Bailey
649;Homalomena borneensis Ridl.
650;Homalomena cordata Schott
651;Homalomena griffithii (Schott) Hook.f.
652;Homalomena insignis N.E.Br.
653;Homalomena javanica Alderw.
654;Homalomena rubescens (Roxb.) Kunth
655;Homalomena pendula (Blume) Bakh.f.
656;Hornstedtia havilandii (K.Schum.) K.Schum.
657;Hornstedtia scottiana (F.Muell.) K.Schum.
658;Horsfieldia borneensis W.J.de Wilde
659;Horsfieldia irya (Gaertn.) Warb.
660;Horsfieldia sylvestris Warb.
661;Hoya bilobata Schltr.
662;Hoya diversifolia Blume
663;Hoya finlaysonii Wight
664;Hydnophytum formicarum Jack
665;Hydrocotyle javanica Thunb.
666;Hydrocotyle ranunculoides L.f.
667;Hydrocotyle sibthorpioides Lam.
668;Hydrocotyle verticillata Thunb.
669;Hydrostemma kunstleri (Ridl.) B. C. Stone
670;Hymenocallis littoralis (Jacq.) Salisb.
671;Hyptis brevipes Poit.
672;Hyptis capitata Jacq.
673;Hyptis suaveolens (L.) Poit.
674;Impatiens balsamina L.
675;Impatiens platypetala Lindl.
676;Impatiens steenisii Grey-Wilson
677;Imperata cylindrica (L.) Raeusch.
678;Indigofera arrecta A.Rich.
679;Indigofera suffruticosa Mill.
680;Indigofera tinctoria L.
681;Indigofera trita L. f.
682;Inocarpus fagifer (Parkinson) Fosberg
683;Intsia bijuga (Colebr.) Kuntze
684;Ipomoea alba L.
685;Ipomoea aquatica Forssk.
686;Ipomoea batatas (L.) Lam.
687;Ipomoea pes-caprae (L.) R. Br.
688;Ipomoea quamoclit L.
689;Ipomoea triloba L.
690;Iresine herbstii Hook.
691;Ixonanthes reticulata Jack
692;Ixora casei Hance
693;Ixora chinensis Lam.
694;Ixora coccinea L.
695;Ixora javanica (Blume) DC.
696;Ixora paludosa (Blume) Kurz
697;Jacquemontia paniculata (Burm. f.) Hallier f.
698;Jasminum sambac (L.) Aiton
699;Jatropha curcas L.
700;Jatropha gossypiifolia L.
701;Jatropha multifida L.
702;Jatropha podagrica Hook.
703;Justicia betonica L.
704;Justicia gendarussa Burm. f.
705;Justicia sumatrana Kurz
706;Kaempferia angustifolia Roscoe
707;Kaempferia galanga L.
708;Kaempferia rotunda L.
709;Kalanchoe hybrida Desf. Ex Steud.
710;Kalanchoe laciniata (L.) DC.
