;usageKey;acceptedUsageKey;scientificName;canonicalName;rank;status;confidence;matchType;kingdom;phylum;order;family;genus;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;synonym;class;species;speciesKey;note
1307;2968662;;Dalbergia latifolia Roxb.;Dalbergia latifolia;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Dalbergia;6;7707728.0;220.0;1370.0;5386.0;2968358.0;False;Magnoliopsida;Dalbergia latifolia;2968662.0;
1308;8126191;;Dalbergia parviflora Roxb.;Dalbergia parviflora;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Dalbergia;6;7707728.0;220.0;1370.0;5386.0;2968358.0;False;Magnoliopsida;Dalbergia parviflora;8126191.0;
1309;2968756;;Dalbergia pinnata (Lour.) Prain;Dalbergia pinnata;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Dalbergia;6;7707728.0;220.0;1370.0;5386.0;2968358.0;False;Magnoliopsida;Dalbergia pinnata;2968756.0;
1310;2968532;;Dalbergia sissoo Roxb. ex DC.;Dalbergia sissoo;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Fabales;Fabaceae;Dalbergia;6;7707728.0;220.0;1370.0;5386.0;2968358.0;False;Magnoliopsida;Dalbergia sissoo;2968532.0;
1311;6;;Plantae;Plantae;KINGDOM;ACCEPTED;99;HIGHERRANK;Plantae;;;;;6;;;;;;False;;;;
1312;7384254;;Danthonia pilosa Trin.;Danthonia pilosa;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Poales;Poaceae;Danthonia;6;7707728.0;196.0;1369.0;3073.0;2703248.0;False;Liliopsida;Danthonia pilosa;7384254.0;
1313;5523654;;Daphne composita (L.fil.) Gilg;Daphne composita;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malvales;Thymelaeaceae;Daphne;6;7707728.0;220.0;941.0;2428.0;3188453.0;False;Magnoliopsida;Daphne composita;5523654.0;
1314;2928747;;Datura metel L.;Datura metel;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Solanales;Solanaceae;Datura;6;7707728.0;220.0;1176.0;7717.0;2928734.0;False;Magnoliopsida;Datura metel;2928747.0;
1315;2928751;;Datura stramonium L.;Datura stramonium;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Solanales;Solanaceae;Datura;6;7707728.0;220.0;1176.0;7717.0;2928734.0;False;Magnoliopsida;Datura stramonium;2928751.0;
1316;3034742;;Daucus carota L.;Daucus carota;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Apiales;Apiaceae;Daucus;6;7707728.0;220.0;1351.0;6720.0;3034740.0;False;Magnoliopsida;Daucus carota;3034742.0;
1317;4099405;4099305.0;Debregeasia dichotoma (Blume) Wedd.;Debregeasia dichotoma;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Rosales;Urticaceae;Debregeasia;6;7707728.0;220.0;691.0;6639.0;7300571.0;True;Magnoliopsida;Debregeasia longifolia;4099305.0;
1318;4179699;;Dehaasia caesia Blume;Dehaasia caesia;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Laurales;Lauraceae;Dehaasia;6;7707728.0;220.0;407.0;6688.0;7304407.0;False;Magnoliopsida;Dehaasia caesia;4179699.0;
