;FNFNUM;TAXON;TAXAUTHOR;GENUS;SPECIES;SUBSPECIES;VARIETY;FORMA;CULTIVAR;SPAUT;SPSAUT;SPVAUT;SPFAUT;CULTAUT;FAMILY;SPCMT;PLCO;TAXNO;VALIDTAXNO;GRINVERIFY;USEAGE;USERID;CREATED;MODIFIED
2263;2300;Magnolia obovata;THUNB.;Magnolia;obovata;;;;;THUNB.;;;;;Magnoliaceae;Synonyms: Magnolia hypoleuca Siebold & Zucc.;;23123.0;23123.0;;M;DUKE;14-MAR-00;15-JUL-05
2264;2301;Cinchona calisaya;WEDD.;Cinchona;calisaya;;;;;WEDD.;;;;;Rubiaceae;Synonyms: Cinchona ledgeriana;;10557.0;10557.0;;M;DUKE;25-MAR-00;15-JUL-05
2265;2302;Cinchona officinalis;L.;Cinchona;officinalis;;;;;L.;;;;;Rubiaceae;;;10567.0;10567.0;;M;DUKE;25-MAR-00;15-JUL-05
2266;2303;Cinchona pubescens;VAHL;Cinchona;pubescens;;;;;VAHL;;;;;Rubiaceae;Synonyms: Cinchona succirubra;;10570.0;10570.0;;M;DUKE;25-MAR-00;15-JUL-05
2267;2304;Cinchona succirubra;PAV. EX KLOTZSCH;Cinchona;succirubra;;;;;PAV. EX KLOTZSCH;;;;;Rubiaceae;Synonym of Cinchona pubescens;;;;;M;DUKE;25-MAR-00;15-JUL-05
2271;2308;Aglaia elaeagnoidea;;Aglaia;elaeagnoidea;;;;;;;;;;Meliaceae;;;431026.0;431026.0;;M;DUKE;08-MAY-00;15-JUL-05
2272;2309;Aglaia edulis;(ROXB.) A. GRAY;Aglaia;edulis;;;;;(ROXB.) A. GRAY;;;;;Meliaceae;Synonyms: Milnea edulis Roxb.;;1764.0;1764.0;;M;DUKE;08-MAY-00;15-JUL-05
2273;2310;Aglaia odorata;LOUR.;Aglaia;odorata;;;;;LOUR.;;;;;Meliaceae;;;1765.0;1765.0;;M;DUKE;08-MAY-00;15-JUL-05
2275;2313;Aucuba japonica;THUNB.;Aucuba;japonica;;;;;THUNB.;;;;;Cornaceae;;;6077.0;6077.0;;M;DUKE;16-MAY-00;15-JUL-05
2284;2322;Aglaia leptantha;;Aglaia;leptantha;;;;;;;;;;Meliaceae;;;;;;M;DUKE;08-JUN-00;15-JUL-05
2285;2323;Selaginella delicatula;;Selaginella;delicatula;;;;;;;;;;Selaginellaceae;;;;;;M;DUKE;08-JUN-00;15-JUL-05
2290;2328;Acacia confusa;MERR.;Acacia;confusa;;;;;MERR.;;;;;Fabaceae;Synonyms: Racosperma confusum;;810.0;810.0;;M;DUKE;08-JUN-00;15-JUL-05
2293;2332;Myrrhis odorata;(L.) SCOP.;Myrrhis;odorata;;;;;(L.) SCOP.;;;;;Apiaceae;;;102117.0;102117.0;;M;DUKE;12-JUN-00;15-JUL-05
2294;2333;Cryptotaenia japonica;HASSK.;Cryptotaenia;japonica;;;;;HASSK.;;;;;Apiaceae;;;12535.0;12535.0;;M;DUKE;20-JUN-00;15-JUL-05
2299;2338;Mahonia fortunei;(LINDL.) FEDDE;Mahonia;fortunei;;;;;(LINDL.) FEDDE;;;;;Berberidaceae;Synonyms: Berberis fortunei;;23159.0;23159.0;;M;DUKE;28-JUN-00;15-JUL-05
2304;2343;Mahonia siamensis;TAKEDA;Mahonia;siamensis;;;;;TAKEDA;;;;;Berberidaceae;;;23174.0;23174.0;;M;DUKE;28-JUN-00;15-JUL-05
2305;2345;Lippia javanica;(BURM. F.) SPRENG.;Lippia;javanica;;;;;(BURM. F.) SPRENG.;;;;;Verbenaceae;Synonyms: Verbena javanica Burm. f.;;408267.0;408267.0;;M;DUKE;25-JUL-00;15-JUL-05
2310;2349;Podocarpus koordersii;;Podocarpus;koordersii;;;;;;;;;;Podocarpaceae;;;;;;M;DUKE;26-JUL-00;15-JUL-05
2320;2359;Capparis tomentosa;LAM.;Capparis;tomentosa;;;;;LAM.;;;;;Capparaceae;;;411704.0;411704.0;;M;DUKE;18-AUG-00;15-JUL-05
2322;2361;Albizia lebbeck;(L.) BENTH.;Albizia;lebbeck;;;;;(L.) BENTH.;;;;;Fabaceae;Synonyms: Acacia lebbek, Mimosa lebbeck;;2140.0;2140.0;;M;DUKE;01-SEP-00;15-JUL-05
2323;2362;Amomum compactum;SOL. EX MATON;Amomum;compactum;;;;;SOL. EX MATON;;;;;Zingiberaceae;Synonyms: Amomum kepulaga Sprague & Burkill;;101007.0;101007.0;;M;DUKE;08-NOV-00;15-JUL-05
2324;2363;Costus speciosus;(J. KONIG) SM.;Costus;speciosus;;;;;(J. KONIG) SM.;;;;;Costaceae;Synonyms: Banksea speciosa J. Konig;;11693.0;11693.0;;M;DUKE;29-NOV-00;15-JUL-05
2325;2364;Phragmites australis;(CAV.) TRIN. EX STEUD.;Phragmites;australis;;;;;(CAV.) TRIN. EX STEUD.;;;;;Poaceae;Syn:Arundo p.,A.vulgaris,P.communis,P.longivalvis,P.vulgaris;;28091.0;28091.0;;M;DUKE;08-DEC-00;15-JUL-05
2331;2370;Xylopia aethiopica;(DUNAL) A. RICH.;Xylopia;aethiopica;;;;;(DUNAL) A. RICH.;;;;;Annonaceae;;;101925.0;101925.0;;M;DUKE;16-FEB-01;15-JUL-05
2332;2371;Camellia japonica;L.;Camellia;japonica;;;;;L.;;;;;Theaceae;Syn:C.j.var.hortensis,var.hozanensis,var.spontanea,&Thea j.;;8711.0;8711.0;;M;DUKE;29-APR-01;15-JUL-05
2334;2373;Lycium barbarum;L.;Lycium;barbarum;;;;;L.;;;;;Solanaceae;Synonyms: Lycium halimifolium Mill., Lycium vulgare Dunal;;22939.0;22939.0;;M;DUKE;16-JUL-01;15-JUL-05
2336;2375;Dianthus caryophyllus;L.;Dianthus;caryophyllus;;;;;L.;;;;;Caryophyllaceae;;;13826.0;13826.0;;M;DUKE;17-JUL-01;15-JUL-05
2337;2376;Dianthus barbatus;L.;Dianthus;barbatus;;;;;L.;;;;;Caryophyllaceae;;;13817.0;13817.0;;M;DUKE;17-JUL-01;15-JUL-05
2338;2377;Dianthus chinensis;L.;Dianthus;chinensis;;;;;L.;;;;;Caryophyllaceae;Synonyms: Dianthus heddewigii, Dianthus laciniatus;;13827.0;13827.0;;M;DUKE;17-JUL-01;15-JUL-05
2341;2380;Nandina domestica;THUNB.;Nandina;domestica;;;;;THUNB.;;;;;Berberidaceae;;;25015.0;25015.0;;M;DUKE;17-JUL-01;15-JUL-05
2344;2383;Parthenocissus quinquefolia;(L.) PLANCH.;Parthenocissus;quinquefolia;;;;;(L.) PLANCH.;;;;;Vitaceae;Syn: Parthenocissus quinquefolia f. hirsuta (Pursh) Fernald;;26804.0;26804.0;;M;DUKE;23-FEB-04;15-JUL-05
2348;317;Crescentia alata;L.;Crescentia;alata;;;;;L.;;;;;Bignoniaceae;;544098002.0;12207.0;12207.0;;M;DUKE;10-DEC-97;15-JUL-05
2350;362;Digitalis purpurea;L.;Digitalis;purpurea;;;;;L.;;;;;Scrophulariaceae;;542134002.0;13986.0;13986.0;;M;DUKE;10-DEC-97;15-JUL-05
2352;442;Ginkgo biloba;L.;Ginkgo;biloba;;;;;L.;;;;;Ginkgoaceae;;4001001.0;17540.0;17540.0;;M;DUKE;10-DEC-97;15-JUL-05
2354;489;Hydrastis canadensis;L.;Hydrastis;canadensis;;;;;L.;;;;;Ranunculaceae;;;19478.0;19478.0;;M;DUKE;10-DEC-97;15-JUL-05
2355;524;Kaempferia galanga;L.;Kaempferia;galanga;;;;;L.;;;;;Zingiberaceae;;96023001.0;20916.0;20916.0;;G;DUKE;10-DEC-97;15-JUL-05
2360;721;Phoenix dactylifera;L.;Phoenix;dactylifera;;;;;L.;;;;;Arecaceae;;;28046.0;28046.0;;F;DUKE;10-DEC-97;15-JUL-05
2361;763;Plantago psyllium;L.;Plantago;psyllium;;;;;L.;;;;;Plantaginaceae;;558001005.0;;;;G;DUKE;10-DEC-97;15-JUL-05
2366;891;Sambucus canadensis;L.;Sambucus;canadensis;;;;;L.;;;;;Adoxaceae;Also placed in families Adoxaceae & Sambucaceae;565001001.0;32983.0;32983.0;;F;DUKE;10-DEC-97;15-JUL-05
2367;967;Stachytarpheta jamaicensis;VAHL;Stachytarpheta;jamaicensis;;;;;VAHL;;;;;Verbenaceae;;533019003.0;403752.0;403752.0;;M;DUKE;10-DEC-97;15-JUL-05
2368;5009;Telosma cordata;;Telosma;cordata;;;;;;;;;;Asclepiadaceae;;;80133.0;80133.0;;;DUKE;10-DEC-97;15-JUL-05
2371;2385;Dipsacus fullonum;L.;Dipsacus;fullonum;;;;;L.;;;;;Dipsacaceae;;;;;;;DUKE;23-JUN-06;
