;usageKey;acceptedUsageKey;scientificName;canonicalName;rank;status;confidence;matchType;kingdom;phylum;order;family;genus;species;kingdomKey;phylumKey;classKey;orderKey;familyKey;genusKey;speciesKey;synonym;class;note
771;3582258;;Dischidia major (Vahl) Merr.;Dischidia major;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Gentianales;Apocynaceae;Dischidia;Dischidia major;6;7707728.0;220.0;412.0;6701.0;7150312.0;3582258.0;False;Magnoliopsida;
772;8308241;3172487.0;Dolichandrone spathacea (L.f.) Seem.;Dolichandrone spathacea;SPECIES;SYNONYM;100;EXACT;Plantae;Tracheophyta;Lamiales;Bignoniaceae;Dolichandrone;Dolichandrone spathacea;6;7707728.0;220.0;408.0;6655.0;3172486.0;3172487.0;True;Magnoliopsida;
773;5304436;;Dracaena reflexa Lam.;Dracaena reflexa;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Asparagales;Asparagaceae;Dracaena;Dracaena reflexa;6;7707728.0;196.0;1169.0;7683.0;2752062.0;5304436.0;False;Liliopsida;
774;3190527;;Dracontomelon dao (Blanco) Merr. & Rolfe;Dracontomelon dao;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Sapindales;Anacardiaceae;Dracontomelon;Dracontomelon dao;6;7707728.0;220.0;933.0;2398.0;3190526.0;3190527.0;False;Magnoliopsida;
775;7267996;;Drymaria villosa Cham. & Schltdl.;Drymaria villosa;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Caryophyllales;Caryophyllaceae;Drymaria;Drymaria villosa;6;7707728.0;220.0;422.0;2518.0;3085329.0;7267996.0;False;Magnoliopsida;
776;7126699;;Drynaria rigidula (Sw.) Bedd.;Drynaria rigidula;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Polypodiales;Polypodiaceae;Drynaria;Drynaria rigidula;6;7707728.0;7228684.0;392.0;2368.0;7126669.0;7126699.0;False;Polypodiopsida;
777;2925655;;Duranta erecta L.;Duranta erecta;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Lamiales;Verbenaceae;Duranta;Duranta erecta;6;7707728.0;220.0;408.0;6689.0;2925654.0;2925655.0;False;Magnoliopsida;
778;5395928;;Elephantopus mollis Kunth;Elephantopus mollis;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Asterales;Asteraceae;Elephantopus;Elephantopus mollis;6;7707728.0;220.0;414.0;3065.0;3119618.0;5395928.0;False;Magnoliopsida;
779;3119915;;Eleutheranthera ruderalis (Sw.) Sch.Bip.;Eleutheranthera ruderalis;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Asterales;Asteraceae;Eleutheranthera;Eleutheranthera ruderalis;6;7707728.0;220.0;414.0;3065.0;3119908.0;3119915.0;False;Magnoliopsida;
780;7330952;;Embelia ribes Burm.fil.;Embelia ribes;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Ericales;Primulaceae;Embelia;Embelia ribes;6;7707728.0;220.0;1353.0;6674.0;2984886.0;7330952.0;False;Magnoliopsida;
781;3063652;;Endospermum moluccanum (Teijsm. & Binn.) Kurz;Endospermum moluccanum;SPECIES;ACCEPTED;99;EXACT;Plantae;Tracheophyta;Malpighiales;Euphorbiaceae;Endospermum;Endospermum moluccanum;6;7707728.0;220.0;1414.0;4691.0;3063626.0;3063652.0;False;Magnoliopsida;
782;3034425;;Eryngium foetidum L.;Eryngium foetidum;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Apiales;Apiaceae;Eryngium;Eryngium foetidum;6;7707728.0;220.0;1351.0;6720.0;3034387.0;3034425.0;False;Magnoliopsida;
783;2759996;;Etlingera littoralis (J.Koenig) Giseke;Etlingera littoralis;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Zingiberales;Zingiberaceae;Etlingera;Etlingera littoralis;6;7707728.0;196.0;627.0;4687.0;2759895.0;2759996.0;False;Liliopsida;
784;3176384;;Eucalyptus alba Reinw. ex Blume;Eucalyptus alba;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Myrtales;Myrtaceae;Eucalyptus;Eucalyptus alba;6;7707728.0;220.0;690.0;5014.0;7493935.0;3176384.0;False;Magnoliopsida;
785;3069535;;Euphorbia antiquorum L.;Euphorbia antiquorum;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malpighiales;Euphorbiaceae;Euphorbia;Euphorbia antiquorum;6;7707728.0;220.0;1414.0;4691.0;11397237.0;3069535.0;False;Magnoliopsida;
786;3067157;;Euphorbia milii Des Moul.;Euphorbia milii;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malpighiales;Euphorbiaceae;Euphorbia;Euphorbia milii;6;7707728.0;220.0;1414.0;4691.0;11397237.0;3067157.0;False;Magnoliopsida;
787;3064865;;Euphorbia neriifolia L.;Euphorbia neriifolia;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malpighiales;Euphorbiaceae;Euphorbia;Euphorbia neriifolia;6;7707728.0;220.0;1414.0;4691.0;11397237.0;3064865.0;False;Magnoliopsida;
788;3067098;;Euphorbia trigona Mill.;Euphorbia trigona;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Malpighiales;Euphorbiaceae;Euphorbia;Euphorbia trigona;6;7707728.0;220.0;1414.0;4691.0;11397237.0;3067098.0;False;Magnoliopsida;
789;3138192;;Eutrochium purpureum (L.) E.E.Lamont;Eutrochium purpureum;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Asterales;Asteraceae;Eutrochium;Eutrochium purpureum;6;7707728.0;220.0;414.0;3065.0;3138186.0;3138192.0;False;Magnoliopsida;
790;8042954;;Ficus ampelas Burm.fil.;Ficus ampelas;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Rosales;Moraceae;Ficus;Ficus ampelas;6;7707728.0;220.0;691.0;6640.0;2984588.0;8042954.0;False;Magnoliopsida;
791;5571361;;Ficus fulva Reinw. ex Blume;Ficus fulva;SPECIES;ACCEPTED;100;EXACT;Plantae;Tracheophyta;Rosales;Moraceae;Ficus;Ficus fulva;6;7707728.0;220.0;691.0;6640.0;2984588.0;5571361.0;False;Magnoliopsida;
