;Plant
161;Anredera cordifolia (Ten.) Steenis
162;Crescentia cujete L.
163;Erythrina variegata L.
164;Morus alba L.
165;Myrmecodia pendans Merr. & Perry
166;Schleichera oleosa (Lour.) Merr.
167;Acalypha indica L.
168;Angiopteris evecta (G. Forst.) Hoffm
169;Cassia alata L.
170;Cucurbita moschata Duch.
171;Elephantopus scaber L.
172;Plantago major L.
173;Portulaca oleracea L.
174;Proiphys amboinensis (L.) Herb.
175;Syzygium malaccense (L.) Merr. & L.M. Perry
176;Bauhinia semibifida Roxb.
177;Calophyllum inophyllum L.
178;Derris elliptica (Roxb.) Bth.
179;Ipomoea aquatica Forssk.
180;Nauclea orientalis (L).L.
181;Scaevola taccada (Gaertn.) Roxb.
182;Stenochlaena palustris (Burm. f.) Bedd.
183;Struchium sparganophorum (L.) Kuntze
184;Amaranthus spinosus L.
185;Gnetum gnemon L.
186;Lygodium circinatum (Burm. f.) Sw.
187;Scurrula atropurpurea (Bl.) Danser
188;Tetracera scandens (L.) Merr.
189;Asplenium nidus L.
190;Austroeupatorium inulifolium (Kunth)
191;Caesalpinia bonduc (L.) Roxb.
192;Caesalpinia sappan L.
193;Clerodendrum chinense (Osbeck) Mabb.
194;Coriandrum sativum L.
195;Ficus variegata Bl.
196;Melanolepis multiglandulosa (Reinw. ex Blume)
197;Piper retrofractum Vahl
198;Pogostemon cablin (Blanco) Benth.
199;Selaginella doederleinii Hieron
200;Anthocephalus chinensis (Lam.) Rich. ex Walp.
201;Citrus maxima (Burm.) Osbeck
202;Coffea canephora Pierre ex A.Froehner
203;Flacourtia rukam Zoll & Mor
204;Luffa acutangula (L.) Roxb.
205;Premna corymbosa Roffler. Willd.
206;Saccharum spontaneum L.
207;Trema orientalis (L.) BI
208;Abrus precatorius L.
209;Adenostemma lavenia (L.) Kuntze
210;Benincasa hispida (Thunb.) Cogn.
211;Bidens pilosa L.
212;Cyclea barbata Miers.
213;Dendrocnide stimulans (L. f.) Chew
214;Drymaria cordata (L.) Willd.
215;Eclipta prostata (L.) L.
216;Kalanchoe laciniata (L.) DC.
217;Ludwigia hyssopifolia (G. Don) Exell
218;Mikania micrantha Kunth
219;Nephrolepis biserrata (Sw.) Schott
220;Paederia foetida L.
221;Parkia speciosa Hassk.
222;Piper aduncum L.
223;Poikilospermum suaveolens (Blume) Merr.
224;Polyscias scutellaria (Burm.f.) Fosberg
225;Rubus mollucanus L.
226;Sida acuta Burm.f.
227;Syzygium cumini (L.) Skeels
228;Azadirachta indica A.Juss.
229;Cassia fistula L.
230;Dendrobium crumenatum Sw.
231;Dracaena angustifolia (Medik.) Roxb.
232;Drynaria sparsisora (Desv.) T. Moore
233;Foeniculum vulgare Mill.
234;Hibiscus sabdariffa L.
235;Macaranga tanarius (L.) Müll.Arg.
236;Melaleuca leucadendra (L.) L.
237;Piper sarmentosum Roxb.
238;Polygala paniculata L.
239;Rhodomyrtus tomentosa (Aiton) Hassk.
240;Sida retusa L.
241;Acanthus ilicifolius L.
242;Amomum compactum Soland. Ex Malon
243;Baccaurea lanceolata (Miq.) M.A.
244;Calotropis gigantea (L.) W.T. Aiton
245;Clerodendrum paniculatum L.
246;Colocasia esculenta (L.) Schott
247;Cyathula prostrata (L.) Blume
248;Dillenia indica L.
249;Dioscorea alata L.
250;Drymoglossum piloselloides (L.) Presl.
251;Eleutherine palmifolia (L.) Merr.
252;Emilia sonchifolia (L.) DC.
253;Euphorbia thymifolia L.
254;Flagellaria indica L.
255;Gigantochloa apus (Schult. & Schult. f.) Kurz
256;Hippobroma longiflora (L.) G.Don
257;Hydnophytum formicarum Jack
258;Inocarpus fagifer (Parkinson) Fosber
259;Intsia bijuga (Colebr.) Kuntze
260;Mallotus philippensis (Lam.) Müll.Arg.
261;Murraya paniculata (L.) Jack
262;Pandanus tectorius Parkinson ex Du Roi
263;Solanum lycopersicum Lam.
264;Capsicum annuum L.
265;Cardiospermum halicacabum L.
266;Clerodendrum japonicum (Thunb.) Sweet
267;Coix lacrymajobi L.
268;Crassocephalum crepidioides (Benth.)
269;Dicranopteris linearis (Burm. f.) Underw.
270;Eusideroxylon zwageri Teijsm. & Binn.
271;Leucas lavandulifolia Sm.
272;Lophatherum gracile Brongn
273;Macaranga trichocarpa (Zoll.) Mull.A.
274;Melochia umbellata (Houtt.) Stapf
275;Nephrolepis exaltata (L.) Schott
276;Oreocnide rubescens (Blume) Miq.
277;Pangium edule Reinw.
278;Sechium edule (Jacq.) Sw.
279;Selaginella willdenowii (Desv. ex Poir.) Baker
280;Styrax benzoin Dryand
281;Theobroma cacao L.
282;Vigna unguiculata (L.) Walp.
283;Achyranthes aspera L.
284;Apium graveolens L.
285;Breynia oblongifolia (Müll.Arg.) Müll.Arg.
286;Citrus acida Pers.
287;Citrus medica L.
288;Conyza bonariensis var. leiotheca (S.F.Blake)
289;Croton tiglium L.
290;Dillenia suffruticosa (Griff.) Martelli
291;Diospyros buxifolia (Blume) Hiern
292;Eleutherine bulbosa (Mill.) Urb.
293;Goniothalamus macrophyllus (Blume)
294;Hemigraphis alternata (Burm.f.) T.Anderson
295;Hydrocotyle sibthorpioides Lam.
296;Impatiens platypetala Lindl.
297;Lygodium microphyllum (Cav.) R. Br.
298;Myrmecodia tuberosa Jack
299;Oxalis corniculata L.
300;Pithecellobium jiringa (Jack) Merr.
301;Senna tora (L.) Roxb.
302;Spondias dulcis Parkinson
303;Swietenia mahagoni (L.) Jacq
304;Acalypha wilkesiana Müll. Arg.
305;Aegle marmelos (L.) Corrêa
306;Annona reticulata L.
307;Artocarpus integer (Thunb.) Merr.
308;Cerbera manghas L.
309;Desmodium gangeticum (L.) DC.
310;Dichrocephala integrifolia (L.f.) Kuntze
311;Diplazium esculentum (Retz.) Sw.
312;Equisetum debile Roxb. ex Vaucher
313;Ficus racemosa L.
314;Garcinia cowa Roxb. ex Choisy
315;Garuga floribunda Decne.
316;Gossypium hirsutum L.
317;Leea rubra Blume ex Spreng.
318;Mimusops elengi L.
319;Mirabilis jalapa L.
320;Murdannia nudiflora (L.) Brenan
321;Octomeles Sumaterana Miq.
322;Piper umbellatum L.
323;Psophocarpus tetragonolobus (L.) D.C.
324;Solanum melongena L.
325;Trema tomentosa (Roxb.) H. Hara
326;Vitex cofassus Reinw. ex Bl.
327;Zingiber officinale var. rubrum Theilade
328;Zizyphus mauritiana Lam.
329;Adenanthera pavonina L.
330;Bischofia javanica Blume
331;Borassus flabellifer L.
332;Breynia vitisidaea (Burm.f.) C.E.C.Fisch.
333;Caryota mitis Lour.
334;Cassytha filiformis L.
335;Clerodendrum calamitosum L.
336;Coffea arabica L.
337;Cucumis sativus L.
338;Dioscorea bulbifera L.
339;Elephantopus tomentosus L.
340;Homalanthus populneus (Geiseler) Pax
341;Hyptis brevipes Poit.
342;Ilex cymosa Blume
343;Lepisanthes amoena (Hassk) Leenh.
344;Mallotus paniculatus (Lam.) Müll.Arg.
345;Melicope latifolia (DC.) T.G. Hartley
346;Mucuna pruriens (L.) DC.
347;Nigella sativa L.
348;Pometia pinnata J.R. Forst. & G. Forst.
349;Rourea asplenifolia (G. Schellenb.) Jongkind
350;Ruellia tuberosa L.
351;Solanum anguivi Lam.
352;Spatholobus ferrugineus (Zoll. & Moritzi)
353;Spilanthes acmella (L.) L.
354;Spondias mombin L.
355;Strychnos lucida R.Br.
356;Tectaria zeylanica (Houtt.) Sledge
357;Tetracera indica (Christm. & Panz.) Merr.
358;Timonius timon (Spreng.) Merr.
