;Plant
746;Clinacanthus nutans (Burm.f.) Lindau
747;Coelogyne asperata Lindl.
748;Coffea robusta Linden ex De Wildem.
749;Commelina benghalensis L.
750;Conyza sumatrensis (Retz.) E. Walker
751;Costus arabicus L.
752;Costus tappenbeckianus J.Braun & K.Schum
753;Cratoxylum arborescens (Vahl) Blume
754;Cratoxylum Sumateranum (Jack) Bl.
755;Crotalaria lanata Bedd.
756;Croton argyratus Blume
757;Curculigo orchioides Gaertn.
758;Curcuma rubescens Roxb.
759;Cyclosorus polycarpus Holttum
760;Cymbidium finlaysonianum Lindl.
761;Cyrtosperma merkusii (Hassk.) Schott
762;Dalbergia ferruginea Roxb.
763;Decasperum parviflorum (Lam.) A.J. Scott.
764;Dendrophthoe falcata (L.f.) Ettingsh
765;Derris scandens (Roxb.) Benth.
766;Desmodium cinereum (Kunth) DC.
767;Desmodium heterophyllum (Willd.) DC.
768;Desmodium triquetrum (L.) DC.
769;Dioscorea kingii R. Knuth
770;Diospyros celebica Bakh.
771;Dischidia major (Vahl) Merr.
772;Dolichandrone spathacea (L.f.) Seem.
773;Dracaena reflexa Lam.
774;Dracontomelon dao (Blanco) Merr. & Rolfe
775;Drymaria villosa Schltdl. & Cham.
776;Drynaria rigidula (Sw.) Bedd.
777;Duranta erecta L.
778;Elephantopus mollis Kunth
779;Eleutheranthera ruderalis (Sw.) Sch.Bip.
780;Embelia ribes Burm.f.
781;Endospermum moluccanum (Teijsm. & Binn.)
782;Eryngium foetidum L.
783;Etlingera littoralis (J.König) Giseke
784;Eucalyptus alba Reinw. ex Blume
785;Euphorbia antiquorum L.
786;Euphorbia milii Des Moul.
787;Euphorbia neriifolia L.
788;Euphorbia trigona Mill.
789;Eutrochium purpureum (L.) E.E. Lamont
790;Ficus ampelas Burm.f.
791;Ficus fulva Reinw. ex Blume
792;Ficus lepicarpa Blume
793;Flacourtia inermis Roxb.
794;Flemingia parviflora Benth.
795;Fleurya interrupta (L.) Gaudich.
796;Flueggea tinctoria (L.) G.L.Webster
797;Flueggea virosa (Roxb. ex Willd.) Royle
798;Fragilaria indica L.
799;Fragraea fragans Roxb.
800;Furtadoa sumatrensis M.Hotta
801;Galearia filiformis (Blume) Boerl.
802;Garcinia atroviridis Griff. ex T.Anderson
803;Garcinia dulcis (Roxb.) Kurz
804;Garcinia xanthochymus
805;Gerrardanthus macrorhizus Harv.
806;Gironniera nervosa Planch.
807;Glichenia linearis Burm.F.
808;Glochidion puberum (L.) Hutch.
809;Glycine max (L.) Merr.
810;Goniothalamus giganteus
811;Gonostegia pentandra (Roxb.) Miq.
812;Gossypium barbadense L.
813;Grammatophyllum scriptum (L.) Blume
814;Gynura pseudochina (L.) DC.
815;Hedyotis prostrata Blume
816;Hedyotis uncinella Hook. & Arn.
817;Heliconia collinsiana Griggs
818;Hibiscus radiatus Cav.
819;Homalomena humilis (Jack) Hook.f.
820;Homalomena rubescens (Roxb.) Kunth
821;Hornstedtia minor (Blume) Valeton
822;Hornstedtia parviflora Ridl.
823;Hyptis suaveolens (L.) Poit.
824;Impatiens hawkeri W. Bull
825;Ipomoea grandifolia (Dammer) O'Donell
826;Ipomoea pestigridis L.
827;Ischaemum muticum L.
828;Ixonanthes icosandra W.D.Jacks.
829;Justicia carnea Lindl.
830;Justicia Sumaterana Kurz
831;Kaempferia angustifolia Roscoe
832;Kaempferia angustifolia Roscoe
833;Kalanchoe daigremontiana Raym.
834;Kalanchoe integra (Medik.) Kuntze
835;Kalanchoe pinnata (Lam.) Pers.
836;Labisia pumila (Blume) Mez
837;Lasianthus tomentosus Bl.
838;Leea guineensis G. Don
839;Leucas aspera (Willd.) Link
840;Leucas javanica (Blume) Benth.
841;Leuconotis eugeniifolia (Wall. ex G.Don)
842;Lindernia anagallis (Burm. f.) Pennell
843;Lindernia dubia (L.) Pennell
844;Lindernia procumbens (Krock.) Borbás
845;Livistona rotundifolia (Lam.) Mart.
846;Lumnitzera racemosa Willd.
847;Lunasia amara Blanco
848;Luvunga scandens (Roxb.) Buch.Ham.
849;Macaranga aleuritoides F.Muell.
850;Macaranga conifera (Rchb.f. & Zoll.) Müll.Arg.
851;Macaranga hispida (Blume) Müll.Arg.
852;Macaranga involucrata (Roxb.) Baill.
853;Macaranga javanica (Blume) Müll.Arg
854;Macaranga peltata (Roxb.) Müll.Arg.
855;Macaranga subpeltata K.Schum. & Lauterb.
856;Mallotus barbatus Müll.Arg.
857;Mallotus mollissimus (Geiseler) Airy Shaw
858;Mangifera odorata Griff.
859;Mansoa alliacea (Lam.) A.H.Gentry
860;Maranthes corymbosa Blume
861;Marsilea crenulata Desv.
862;Meliosma Sumaterana Walp.
863;Memorialis triandra Wedd.
864;Millettia sericea Benth.
865;Mimosa pigra L.
866;Mitragyna speciosa (Korth.) Havil.
867;Momordica cochinchinensis (Lour.) Spreng.
868;Morinda coreia Buch.Ham.
869;Nauclea subdita (Korth.) Steud.
870;Nephelium cuspidatum Bl.
871;Nervilia aragona Gaudich
872;Nothopanax scutellarium (Burm.f.) Merr
873;Oenanthe javanica (Blume) DC.
874;Omalanthus populneus (Geisel) Pax
875;Opuntia elatior Mill.
876;Osmoxylon novoguineense (Scheff.) Becc.
877;Pandanus dubius Spreng.
878;Pandanus odorifer (Forssk.) Kuntze
879;Panicum repens L.
880;Paspalum setaceum Michx.
881;Persicaria maculosa Gray
882;Phaseolus vulgaris L.
883;Phragmites australis (Cav.) Trin. ex Steud.
884;Phyllanthus villosus Poir.
885;Piper auritum Kunth.
886;Piper caducibracteum C. DC.
887;Piper caninum Blume
888;Piper crocatum Ruiz & Pav.
889;Pipturus albidus A.Gray ex H.Mann
890;Pistia stratioites L.
891;Plocoglottis quadrifolia J.J.Sm.
892;Podocarpus neriifolius D.Don
893;Polygonum barbatum L.
894;Polyscias fruticosa (L)Harm
895;Pothos scandens L.
896;Pteris ensiformis Burm. f.
897;Pterisanthes polita M.A.Lawson
898;Pterospermum acerifolium (L.) Willd.
899;Pterospermum celebicum Miq.
900;Pterospermum diversifolium Blume
901;Pyrrosia piloselloides (L.) M.G. Price
902;Rauvolfia javanica Koord. & Valeton
903;Rennelia elliptica Korth.
904;Rhaphidophora decursiva (Roxb.) Schott
905;Rhaphidophora decursiva (Roxb.) Schott
906;Saccharum arundinaceum Retz.
907;Salvia officinalis L.
908;Sambucus javanica Reinw. ex Blume
909;Sarcandra glabra (Thunb.) Nakai
910;Schismatoglothis wallichii Hook.f
911;Schizostachyum brachycladum (Kurz) Kurz
912;Scorodocarpus borneensis (Baill.) Becc.
913;Scurrula parasitica L.
914;Senna auriculata (L.) Roxb.
915;Senna floribunda (Cav.) H.S.Irwin & Barneby
916;Smilax glauca Walter
917;Solanum aculeatissimum Jacq.
918;Solanum sanitwongsei Craib
919;Solanum torvum
920;Spathodea campanulata P.Beauv.
921;Spatholobus suberectus Dunn
922;Sphaeranthus indicus L.
923;Stachytarpheta mutabilis (Jacq.) Vahl
924;Syzygium zeylanicum (L.) DC.
925;Tabernaemontana sphaerocarpa Bl.
926;Tacca integrifolia Ker Gawl.
927;Taenitis blechnoides (Willd.) Sw.
928;Talinum paniculatum (Jacq.) Gaertn.
929;Tecoma stans (L.) Juss. ex Kunth
930;Tectona grandis L.f
931;Tetrastigma planicaule (Hook. f.) Gagnep.
932;Timonius wallichianus (Korth.) Valeton
933;Toona sureni (Bl.) Merr.
934;Trevesia palmata (Roxb. ex Lindl.) Vis.
935;Tridax procumbens (L.) L.
936;Typhonium flagelliforme (Lodd.) Blume
937;Urticastrum decumanum (Roxb.) Kuntze
938;Vernonia arborea Buch.Ham. ex Buch.Ham.
939;Vitex pubescens Vahl.
940;Wrightia tinctoria R.Br.
941;Xylosma benthamii (Tul.) Triana & Planch.
942;Zanthoxylum acanthopodium DC.
943;Xanthozoma macrorrhiza
944;Zephyranthes rosea Lindl.
945;Acacia farnesiana (L.) Willd.
946;Acacia mangium Willd.
947;Acacia tortuosa (L.) Willd.
948;Acalypha amentacea Roxb.
949;Acalypha caturus Bl.
950;Acmella paniculata (Wall. ex DC.)
951;Acmella uliginosa (Sw.)Lois.
952;Acrostichum aureum L.
953;Actinodaphne glabra Blume
954;Actinodaphne obovata (Nees) Blume
955;Adhatoda vasica (L.) Nees
956;Adiantum raddianum C. Presl
957;Adiantum trapeziforme L.
958;Adinandra dumosa Jack
959;Adinandra sarosanthera Miq.
960;Aechmea fasciata (Lindl.) Baker
961;Aerva sanguinolenta (L.) Blume
962;Agathis alba (Lam.) Foxw.
963;Aglaia argentea Blume
964;Aglaonema nebulosum N.E.Br.
965;Albizia chinensis (Osbeck) Merr.
966;Albizia papuensis Verdc.
967;Albizia procera (Roxb.) Benth.
968;Albizia saponaria (Lour.) Miq.
969;Allamanda schottii Pohl
970;Allium schoenoprasum L.
971;Allmania nodiflora (L.) R.Br. ex Wight
972;Allophylus laevigatus (Turcz.) Radlk.
973;Alocasia cucullata (Lour.) G.Don
974;Alocasia princeps W.Bull
975;Alphitonia excelsa (Fenzl.) Reissek ex. Endl
976;Alphonsea javanica Scheff.
977;Alpinia arundelliana (F.M.Bailey) K.Schum.
978;Alpinia purpurata (Vieill.) K.Schum.
979;Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.
980;Alsomitra macrocarpa (Blume) M.Roem
981;Alstonia macrophylla Wall. ex G. Don
982;Alternanthera philoxeroides (Mart.) Griseb.
983;Alternanthera sessilis (L.) R.Br. ex DC.
984;Alysicarpus monilifer
985;Alyxia reinwardtii Blume
986;Amaranthus hybridus L.
987;Amaranthus viridis L.
988;Amischotolype gracilis (Ridl.) I.M.Turner
989;Amomum coccineum (Bl.) K.Schum
990;Amomum pseudofoetens Val.
991;Amomum testaceum Ridl.
992;Amorphophallus variabilis Blume
993;Ampelocissus elegans Gagnep.
994;Ampelocissus thyrsiflora (Blume) Planch.
995;Ampelopsis cordata Michx.
996;Ancistrocladus tectorius (Lour.) Merr.
997;Anisomeles indica (L.) Kuntze
998;Anoectochilus longicalcaratus J.J.Sm.
999;Anplectrum glaucum (Jack) Triana
1000;Antidesma ghaesembilla Gaertn.
1001;Aporosa frutescens Blume
1002;Apostasia nuda R.Br.
1003;Aralia spinosa L.
1004;Ardisia japonica (Thunb.) Blume
1005;Arthrophyllum diversifolium Blume
1006;Artocarpus lanceifolius Roxb.
1007;Artocarpus nitidus Trécul
1008;Artocarpus teysmannii Miq.
1009;Asclepias syriaca L.
1010;Asparagus racemosus Willd.
1011;Asplenium adiantumnigrum L.
1012;Asplenium salignum Blume
1013;Avicennia alba
1014;Avicennia marina (Forssk.) Vierh.
1015;Azima sarmentosa (Blume) Benth. & Hook.f.
1016;Baccaurea deflexa Müll.Arg.
1017;Baccaurea pubera (Miq.) Mull. Arg.
1018;Baeckea frutescens L.
1019;Bambusa bambos (L.) Voss.
1020;Bambusa blumeana Schult.f.
1021;Bambusa heterostachya (Munro) Holttum
1022;Bambusa multiplex (Lour) Raeuschel
1023;Bambusa tuldoides Munro
1024;Barclaya motleyi Hook.f.
1025;Barleria lupulina Lindl.
1026;Barringtonia macrostachya (Jack) Kurz
1027;Barringtonia sarcostachys (Blume) Miq.
1028;Basilicum polystachyon (L.) Moench
1029;Bauhinia coccinea (Lour.) DC.
1030;Bauhinia monandra Kurz
1031;Bauhinia purpurea L.
1032;Bauhinia scandens L
1033;Begonia aptera Blume
1034;Begonia bipinnatifida J.J.Sm.
1035;Begonia decandra Pav. ex A.DC.
1036;Begonia robusta Blume
1037;Begonia tiger
1038;Beilschmiedia lucidula (Miq.) Kosterm.
1039;Bellucia grossularioides (L.) Triana
1040;Bhesa paniculata Arn.
1041;Blechnum nudum (Labill.) Luerss.
1042;Blechnum occidentale L.
1043;Blumea axillaris (Lam.) DC.
1044;Blumea lanceolaria (Roxb.) Druce
1045;Blumea riparia (Blume) DC.
1046;Boehmeria celebica Blume
1047;Boerhavia diffusa L.
1048;Borreria brachystema
1049;Bougainvillea glabra Choisy
1050;Brachiaria mutica (Forssk.) Stapf
1051;Bridelia glauca Blume
1052;Bridelia monoica (Lour.) Merr
1053;Brucea balsaminifora
1054;Brugmansia acida
1055;Bryophyllum daigremontianum
1056;Buchanania arborescens (Blume) Blume
1057;Bulbophyllum foetidum Schltr.
1058;Cabomba aquatica Aubl.
1059;Caesalpinia latisiliqua
1060;Calamus exilis Griff
1061;Calamus heteracanthus Zipp. ex Blume
1062;Calamus inops Becc. ex K.Heyne
1063;Calamus scipionum Lour.
1064;Calamus zollingeri Becc.
1065;Calathea monophylla (Vell.) Körn.
1066;Calathea zebrina (Sims) Lindl.
1067;Calicarpa albida
1068;Callicarpa dichotoma (Lour.) K.Koch
1069;Calophyllum pulcherrimum Wall. ex Choisy
1070;Campnosperma brevipetiolatum Volkens
1071;Canarium indicum L.
1072;Canavalia rosea (Sw.) DC.
1073;Canthium coromandelicum (Burm.f.) Alston
1074;Canthium horridum Blume
1075;Capparis micracantha DC.
1076;Cardamine flexuosa With.
1077;Cascabela thevetia (L.) Lippold
1078;Casearia grewiifolia Vent.
1079;Cassia grandis L.f.
1080;Cassia leptophylla Vogel
1081;Cassia roxburghii DC.
1082;Cassia tora L.
1083;Celosia cristata L.
1084;Centipeda minima (L.) A. Br. & Asch.
1085;Centotheca lappacea (L.) Desv.
1086;Centrosema pubescens Benth.
1087;Cheilanthes marginata Kunth
1088;Chondodendron platiphylla Miers
1089;Chrysopogon zizanioides (L.) Roberty
1090;Cinchona calisaya Wedd.
1091;Cinchona pubescens Vahl
1092;Cinnamomum culilaban (L.) J. Presl
1093;Cinnamomum sintoc Blume
1094;Cissampelos pareira L.
1095;Cissus javana DC.
1096;Citrullus lanatus (Thunb.) Matsum. & Nakai
1097;Citrus × jambhiri Lush.
1098;Citrus amblycarpa Ochse
1099;Citrus nobilis Lour.
1100;Claderia viridiflora Hook. f.
1101;Claoxylon australe Baill. ex Müll.Arg.
1102;Claoxylon indicum (Reinw. ex Blume) Hassk.
1103;Clematis smilacifolia Wall.
1104;Clerodendron paradisiarum
1105;Clerodendrum adenophysum Hallier f.
1106;Clerodendrum capitatum (Willd.)
1107;Clerodendrum culmitosum L.
1108;Clerodendrum inerme (L.) Gaertn.
1109;Clerodendrum philippinum Schauer
1110;Clerodendrum splendens G.Don
1111;Clerodendrum ugandense Prain
1112;Clerodendrum splendens G.Don
1113;Codeaum variegatum (Ll.)Blume.
1114;Coffe robusta
1115;Coffea canephora Pierre ex A.Froehner
1116;Coleus blumei Benth.
1117;Coleus hybridus
1118;Colocasia antiquorum
1119;Colubrina asiatica (L.) Brongn.
1120;Cominsia gigantea (Scheff.) K. Schum.
1121;Commelina erecta L.
1122;Commelina paludosa Blume.
1123;Complaya trilobata (L.) Strother
1124;Coptosapelta flavescens Korth.
1125;Cordia obliqua Willd.
1126;Cordia subcordata Lam.
1127;Cosmos bipinnatus Cav.
1128;Crallia brachyata (Lour.) Merr.
1129;Cratoxylum pentadelphum Turcz.
1130;Crinum latifolium L.
1131;Crotalaria anagyroies Kunth.
1132;Crotalaria rotundifolia J.F.Gmel.
1133;Crotalaria spectabilis Roth
1134;Croton oblongus Burm.f.
1135;Cryptocoryne ciliata (Roxb.) Fisch. ex Wydler
1136;Cryptocoryne ideii Budianto
1137;Ctenanthe oppenheimiana (E. Morren)
1138;Cucumis melo L.
1139;Cucurbita maxima Duchesne
1140;Cuminum cyminum L.
1141;Cupania cinerea Poepp.
1142;Cuphea carthagenensis (Jacq.) J.F.Macbr.
1143;Cuphea hyssopifolia Kunth
1144;Curcuma alba
1145;Curcuma caesia Roxb.
1146;Curcuma longa
1147;Cuscuta australis R. Br.
1148;Cyathea prostata
1149;Cyclosorus heterophyllus Desv.
1150;Cynometra cauliflora L.
1151;Cynometra ramiflora L.
1152;Cyperus iria L.
1153;Cyperus odorus L.
1154;Cyperus squarrosus L.
1155;Cyphomandra betacea (Cav.) Miers
1156;Cyrtandra longifolia (Wawra) Hillebr.
1157;Cyrtandra oblongifolia C.B. Clarke
1158;Cyrtandra pendula Blume
1159;Cyrtosperma spinosa
1160;Daemonorops fissa Blume
1161;Daemonorops rubra (Reinw. ex Mart.) Blume
1162;Daemonorops periacantha Miq.
1163;Dalbergia hupeana Hance
1164;Dalbergia latifolia Roxb.
1165;Dalbergia odorifera T.C.Chen
1166;Datura reburra Barclay
1167;Daucus carota L.
1168;Debregeasia longifolia (Burm.f.)Wedd.
1169;Decaspermum fruticosum J.R.Forst. & G.Forst.
1170;Delonix regia (Hook.) Raf.
1171;Dendrobium indivisum (Blume) Miq.
1172;Dendrobium secundum (Blume) Lindl.
1173;Dendrolobium umbellatum (L.) Benth.
1174;Dendrophthoe carinata Danser
1175;Dendrophthoe mearnsii (Merr.) Danser
1176;Dendrophthoe pentapetala (Roxb.) G.Don
1177;Dendrophthoe lanosa (Korth.) Danser
1178;Dendrotrophe umbellata var. umbellata
1179;Desmodium adscendens (Sw.) DC.
1180;Desmodium heterocarpon (L.) DC.
1181;Desmodium laevigatum (Nutt.) DC.
1182;Desmodium ovalifolium Guill. & Perr.
1183;Desmodium paniculatum (L.) DC.
1184;Desmodium uncinatum (Jacq.) DC.
1185;Desmodium velutinum (Willd.) DC.
1186;Dianella caerulea Sims
1187;Dianella tasmanica Hook. f.
1188;Dichrostachys cinerea (L.) Wight & Arn.
1189;Dicliptera bracteata Seem.
1190;Dicliptera chinensis
1191;Dictamnus albus L
1192;Dieffenbchia seguine (Sawn.) Schott.
1193;Digitaria sanguinalis (L.) Scop.
1194;Dillenia borneensis Hoogl.
1195;Dillenia ptempoda (Miq.) Hoogland
1196;Dillenia reticulata King
1197;Dillenia serrata Thunb.
1198;Dioscorea dumetorum (Kunth) Pax
1199;Dioscorea esculenta (Lour.) Burkill
1200;Dioscorea oppositifolia L.
1201;Dioscorea pyrifolia Kunth
1202;Dioscorea spiculiflora Hemsl.
1203;Diospyros macrophylla Blume
1204;Diospyros philippinensis A.DC.
1205;Diospyros pilosanthera Blanco
1206;Diplazium caudatum Jermy
1207;Dipteris conjugata Reinw.
1208;Dipteris lobbiana (Hook.) T. Mooren
1209;Dischidia vidalii Becc.
1210;Dischidia nummularia R.Br.
1211;Dissochaeta gracilis (Jack) Blume
1212;Dissochaeta leprosa
1213;Dodonea viscosa Jacq.
1214;Dolichos lupiniflorus N.E. Br.
1215;Dracaena braunii Engl.
1216;Drynaria heracleum T. Moore
1217;Drynaria pleuridioides Pr.
1218;Dryobalanops beccarii Dyer
1219;Dryobalanops sumatrensis (J.F.Gmel.)
1220;Dryopteris cristata (L.) A. Gray
1221;Dryopteris sieboldii (T. Moore) Kuntze
1222;Durio graveolens Becc.
1223;Dyopteris affinis
1224;Dysoxillum parasiticum (Osbeck) Kosterm
1225;Elaeocarpus palembanicus (Miq.) Corner
1226;Elaeocarpus serratus L.
1227;Elatostema acuminatum (Poir.) Brongn.
1228;Elatostema integrifolium (D.Don) Wedd.
1229;Elatostema platyphyllum Wedd.
1230;Eleocharis dulcis
1231;Elepanthopus tomentosus
1232;Elettaria longituba (Ridl.) Holttum
1233;Eleurites moluccana
1234;Elytranthe parasitica (L.) Danser
1235;Endopermum peltatum Merr.
1236;Endospermum diadenum (Miq.) Airy Shaw
1237;Enhalus elcoriodes (L.f.) Royle
1238;Entada gigas (L.) Fawc. & Rendle
1239;Entada phaseoloides (L.) Merr.
1240;Epiphyllum oxypetalum (DC.) Haw.
1241;Eragrostis aspera (Jacq.) Nees
1242;Eribroma oblongum (Mast.) Pierre ex A.
1243;Eriocaulon cinereum R.Br.
1244;Erioglossum rubiginosum (Roxb.) Blume
1245;Erithrina varigata
1246;Erythrina fusca
1247;Erythrina lithosperma Miq.
1248;Etlingera brevilabrum (Valeton) R.M.Sm.
1249;Etlingera coccinea (Blume)
1250;Eucheuma cottonnii
1251;Eugenia cumini (L.) Druce
1252;Euodia elleryana
1253;Euodia suaveolens
1254;Eupatorium triplinerve Vahl
1255;Euphorbia atoto G.Forst.
1256;Euphorbia illirica Lam.
1257;Euphorbia triculli L.
1258;Eurya nitida Korth.
1259;Evodia roxburghiana Benth.
1260;Evodia semecarpifolia Merr.
1261;Excoecaria bantamensis Müll.Arg
1262;Fagraea fragrans Roxb. ex Carey & Wall.
1263;Fagraea volubilis Wall.
1264;Ficus auriculata Lour.
1265;Ficus carica L.
1266;Ficus congesta Roxb.
1267;Ficus glabella Blume
1268;Ficus glandulifera (Wall. ex Miq.) King
1269;Ficus microcarpa L.f.
1270;Ficus parietalis Blume
1271;Ficus sagittata Vahl
1272;Fimbristylis nutans (Retz.) Vahl
1273;Fuirena ochreata Nees ex Kunth
1274;Galearia fulva (Tul.) Miq.
1275;Galeola nudifolia Lour.
1276;Ganoderma alba
1277;Ganoderma applanatum
1278;Ganoderma rubra
1279;Ganophyllum falcatum Blume
1280;Garcinia celebica L.
1281;Garcinia gummigutta (L.) Roxb.
1282;Garcinia intermedia (Pittier) Hammel
1283;Garcinia parvifolia (Miq.) Miq.
1284;Garuga pinnata Roxb.
1285;Gastonia serratifolia (Miq.) Philipson
1286;Gaultheria fragrantissima Wall.
1287;Gendarussa vulgaris
1288;Gigantochloa atroviolacea Widjaja
1289;Gigantochloa heterostachya Munro
1290;Gigantochloa robusta Kurz
1291;Gigantochloa verticillata (Willd.) Munro
1292;Gironniera parvifolia Planch.
1293;Globba leucantha Miq.
1294;Glochidion celastroides (Müll.Arg.) Pax
1295;Glochidion fernandii F.M. Bailey
1296;Glochidion littorale Blume
1297;Glochidion lutescens Blume
1298;Glochidion oblongifolium Airy Shaw
1299;Glochidion superbum Baill. ex Müll.Arg.
1300;Gmelina leichardtii (F. Muell.) Benth.
1301;Gnetum cuspidatum Blume
1302;Gomphia serrata (Gaertn.) Kanis
1303;Gomphrena celosioides Mart.
1304;Gonostegia hirta (Blume ex Hassk.) Miq.
1305;Gossypium arboreum L.
1306;Gossypium brasiliense Macfad.
1307;Greenea corymbosa (Jack) Voigt
1308;Guazuma ulmifolia Lam.
1309;Guioa lentiscifolia Cav.
1310;Guioa pleuropteris (Blume) Radlk.
1311;Hanguana malayana (Jack) Merr.
1312;Hedychium longicornutum Griff. ex Baker
1313;Hedychium maximum Roscoe
1314;Hedyotis beddomei Hook.f.
1315;Hedyotis corymbosa
1316;Hedyotis costata R. Br. ex G. Don
1317;Hedyotis phillippensis
1318;Heliconia psittacorum L.f.
1319;Heliconia rostrata Ruiz & Pav.
1320;Heliotropium indicum L.
1321;Helixanthera coccinea (Jack) Danser
1322;Helixanthera parasitica Lour.
1323;Helminthostachys zeylanica (L.) Hook.
1324;Hemigraphis ciliata S.Moore
1325;Henslowia frutescens
1326;Hernandia peltata Meisn.
1327;Hevea brasiliensis (Willd. ex A.Juss.) Müll.Arg.
1328;Hibiscus macrophyllus Roxb. ex Hornem.
1329;Homalomena javanica Alderw.
1330;Homalomena pendula (Blume) Bakh.f.
1331;Hornstedtia havilandii (K.Schum.) K.Schum.
1332;Hornstedtia scottiana
1333;Hornstedtia tomentosa (Blume) Bakh.f.
1334;Horsfieldia kingii (Hook.f.) Warb.
1335;Hoya ridleyi King & Gamble
1336;Huperzia phlegmaria (L.) Rothm
1337;Hydrangea macrophylla (Thunb.) Ser.
1338;Hydrocotyl sibthorpiodes
1339;Hydrocotyle ranunculoides L.f.
1340;Hymenocallis littoralis (Jacq.) Salisb.
1341;Hypolepis glandulifera Brownsey & Chinnock
1342;Illicium verum Hook. f.
1343;Inocarpus edulis (Parkinson) Fosberg
1344;Inocarpus fagiferus
1345;Intsia acuminata
1346;Ipomoea andersonii
1347;Ipomoea carnea Jacq.
1348;Ipomoea peltata (L.) Choisy
1349;Ipomoea quamoclit L.
1350;Ischaemum timorense Kunth
1351;Isolona hexaloba (Pierre) Engl. & Diels
1352;Ixonanthes reticulata Jack
1353;Ixora casei Hance
1354;Jasminum grandiflorum L.
1355;Jungermannia polymorpha (L.)
1356;Kaempferia pulchra Ridl.
1357;Knema intermedia Warb.
1358;Knema palembanica Warb.
1359;Koompassia excelsa (Becc.) Taub.
1360;Koordersiodendron pinnatum Merr.
1361;Kopsia arborea Bl.
1362;Korthalsia rigida Blume
1363;Kyllinga monocephala Rottb.
1364;Kyllinga nemoralis (J.R.Forst. & G.Forst.)
1365;Lactuca indica L.
1366;Lactuca sativa L.
1367;Lagerstroemia indica L.
1368;Laportea canadensis (L.) Gaudich.
1369;Laportea interrupta (L.) Chew
1370;Laportea stimulans
1371;Lasia spinosa (L.) Thwaites
1372;Lasianthus constrictus Wight
1373;Laurentia longiflora (L).
1374;Leea angulata Korth. ex Miq.
1375;Leea simplicifolia Zoll. & Moritzi
1376;Legnephora moorei (F. Muell.) Miers
1377;Lemmaphyllum carnosum (J. Sm. ex Hook.)
1378;Lencaena glanca
1379;Lepianthes peltata (L.) Raf. ex R.A. Howard
1380;Lepisanthes senegalensis (Poir.) Leenh.
1381;Lepistemon binectariferum (Wall.)
1382;Leptaspis urceolata (Roxb.) R.Br.
1383;Lerchea paniculata Backer ex Bakh.f.
1384;Lilium longiflorum Thunb.
1385;Lindernia diffusa (L.) Wettst.
1386;Litsea chinensis Lam.
1387;Litsea citrifolia Juss.
1388;Livistona chinensis (Jacq.) R.Br. ex Mart.
1389;Lobelia angulata G.Forst.
1390;Lobelia zeylanica L.
1391;Lochnera rosea (L.) Rchb. ex Endl.
1392;Loranthus parasiticus (L.) Merr.
1393;Lotus subbiflorus Lag.
1394;Ludwigia adscendens (L.) H. Hara
1395;Ludwigia perennis L.
1396;Ludwigia peruviana (L.) H.Hara
1397;Ludwigia suffruticosa Walter
1398;Luisia curtisii Seidenf.
1399;Lumnitzera littorea (Jack) Voigt
1400;Lycopodium japonicum Thunb.
1401;Lygodium salicifolium C. Presl
1402;Macadamia hildebrandii Steenis
1403;Macaranga gigantifolia Merr.
1404;Macaranga harveyana (Müll.Arg.) Müll.Arg.
1405;Macaranga hullettii King ex Hook.f.
1406;Macaranga hypoleuca (Rchb.f. & Zoll.)
1407;Macaranga motleyana (Müll.Arg.) Müll.Arg.
1408;Macaranga pruinosa (Miq.) Mull. Arg.
1409;Macaranga winkleri Pax & K.Hoffm.
1410;Macaranga motleyana (Müll.Arg.) Müll.Arg.
1411;Macrosolen cochinchinensis (Lour.) Tiegh.
1412;Magnolia ovalis (Miq.) Figlar
1413;Mahonia fortunei (Lindl.) Fedde
1414;Malaccensis maing
1415;Mallothus paniculatus
1416;Mallotus apelta (Lour.) Müll.Arg.
1417;Mallotus macrostachyus (Miq.) Müll.Arg.
1418;Mallotus repandus (Willd.) Müll.Arg.
1419;Malus pumila Mill.
1420;Manihot utilissima
1421;Mapania cuspidata (Miq.) Uittien
1422;Mapania mannii subsp. bieleri (De Wild.)
1423;Matelea gonocarpos (Walter) Shinners
1424;Mecardonia procumbens (Mill.) Small
1425;Melaleuca cajuputi Powell
1426;Melastoma affine D. Don
1427;Melastoma candidum
1428;Melicope confusa (Merr.) P.S. Liu
1429;Melicope denhamii (Seem.)T.G.Heartly
1430;Melicope incana T.G. Hartley
1431;Melicope micrococca (F. Muell.) T.G. Hartley
1432;Melicope semecarpifolia (Merr.) T.G. Hartley
1433;Melicope ternata J.R. Forst. & G. Forst.
1434;Melochia corchorifolia
1435;Mentha × piperita L.
1436;Merremia vitifolia (Burm. f.) Hallier f.
1437;Michelia alba DC.
1438;Microsorium nigrescens
1439;Microsorum diversifolium (G.Forst.) Copel
1440;Microsorum scolopendria (Burm. f.) Copel.
1441;Microstegium ciliatum (Trin.) A.Camus
1442;Miliusa horsfieldii (Bennett) Baill. ex Pierre
1443;Millettia atropurpurea (Wall.) Benth.
1444;Mitracarpus hirtus (L.) DC.
1445;Mitracarpus breviflorus A.Gray
1446;Molineria capitulata (Lour.) Herb.
1447;Momordica subangulata Blume
