,uuid,county,phylum,class,order,family,genus,taxonRank
212,2ccb5eb1-5efd-4661-9396-a8934511cdf1,indonesia,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eugenia,genus
213,bda8be99-84ef-4eed-8d90-f902f1a61f6f,indonesia,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eugenia,genus
214,283356b5-ac80-42bf-8f3d-b2fff7401b7d,indonesia,Bryophyta,Bryopsida,Dicranales,Leucobryaceae,Leucobryum,species
215,4659fcad-8a63-4610-936e-78ea7ad55a47,indonesia,Tracheophyta,Magnoliopsida,Theales,Clusiaceae,Garcinia,genus
216,d2520e2f-edb1-4b27-8c14-6e0773dde595,indonesia,Tracheophyta,Magnoliopsida,Urticales,Moraceae,Ficus,genus
217,52f94731-1e20-4b8b-92a5-a90cfc41b0ab,indonesia,Spermatophyta,Liliopsida,Orchidales,Orchidaceae,Crepidium,species
218,8bea1287-634f-49d3-9877-afd3443ccda6,indonesia,Tracheophyta,Magnoliopsida,Violales,Begoniaceae,Begonia,genus
219,3c5d8627-6e18-4e2a-9681-7c8e474b0e27,indonesia,Tracheophyta,Magnoliopsida,Urticales,Moraceae,Ficus,genus
220,4db87837-9ee0-42d2-bb02-d377583cc84b,indonesia,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Procris,genus
221,fa6fd020-83fe-4864-98c2-ec562908ab30,indonesia,Tracheophyta,Magnoliopsida,Theales,Theaceae,Camellia,genus
222,04b3db04-cedb-4051-8dd3-1493f498d014,indonesia,Charophyta,Equisetopsida,Gleicheniales,Dipteridaceae,,family
223,bd0afb71-e078-4578-a38c-6678d04fab33,indonesia,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Derris,genus
224,d0de14d3-b5b9-4b50-990c-386f0bb13513,indonesia,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Urophyllum,genus
225,9fcdb6d2-76b5-4dd6-a830-bda1d3477d96,indonesia,Marchantiophyta,Jungermanniopsida,,Allisoniaceae,Calycularia,Species
226,9778c18b-68af-4fbd-9aae-0aa1589bf259,indonesia,Charophyta,Equisetopsida,Solanales,Solanaceae,Solanum,genus
227,b6c4c796-37fd-4256-b70c-ddf57db2f76d,indonesia,Charophyta,Equisetopsida,Laurales,Lauraceae,,family
228,bc6acc3a-4026-4eb6-a7f8-dc8c94707c8d,indonesia,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,genus
229,2616dbc7-9d66-4f5a-ad16-15cec2f596f7,indonesia,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Aporusa,genus
230,28db88c6-7710-4880-b2a1-6e4e4621ef24,indonesia,Charophyta,Equisetopsida,Ericales,Symplocaceae,,species
231,6b972742-608e-4fa5-b580-9d6115839a41,indonesia,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Alstonia,Species
232,003d1e2d-1582-4ca2-97a4-f6ddd9b67df5,indonesia,Tracheophyta,Magnoliopsida,Urticales,Moraceae,Ficus,genus
233,f6f9302f-350a-4986-8718-56f22b196a40,indonesia,Tracheophyta,Magnoliopsida,Primulales,Myrsinaceae,Ardisia,genus
234,37ec43d8-99b5-41ab-880d-c498c6b6a8da,indonesia,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Urophyllum,genus
235,87482321-2260-4994-9d69-3619088995a8,indonesia,Charophyta,Equisetopsida,Rosales,Moraceae,Ficus,genus
236,8604d961-d1e8-4532-9fea-fa68ddd57b48,indonesia,Tracheophyta,Magnoliopsida,Theales,Clusiaceae,Garcinia,genus
237,2e403280-52fe-4ce3-ad30-b7413b937ba9,indonesia,Tracheophyta,Magnoliopsida,Primulales,Myrsinaceae,Ardisia,genus
238,ad5c5377-305b-4026-a2f0-2c91a8cc1db8,indonesia,Tracheophyta,Magnoliopsida,Theales,Clusiaceae,Garcinia,genus
239,9bae8e94-ae36-4952-8fc4-fc08b23e142b,indonesia,Marchantiophyta,Marchantiopsida,Marchantiales,Aytoniaceae,Asterella,genus
240,3cf11083-5c61-4ee8-b656-4bed6e2d29d2,indonesia,Tracheophyta,Magnoliopsida,Rhamnales,Vitaceae,Cissus,genus
241,86c0f178-7665-47bd-95a5-9018649beffa,indonesia,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Astronia,genus
242,fd9bd95b-049d-4032-b395-bea5172bef8b,indonesia,Charophyta,Equisetopsida,Hymenophyllales,Hymenophyllaceae,Abrodictyum,species
243,948bc451-1ba4-4835-8bfb-3e2832c59482,indonesia,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Aglaia,genus
244,b0caa6f2-4cac-48c5-ad74-7ba1f7f1825f,indonesia,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Vanda,species
